turn_id,audio_file,pause_index,pause_start,pause_end,label
hi__000,audio/hi__000.wav,0,6.1,6.4,hold
hi__000,audio/hi__000.wav,1,8.7,9.4,hold
hi__000,audio/hi__000.wav,2,15.7,17.044,eot
hi__001,audio/hi__001.wav,0,6.7,7.2,hold
hi__001,audio/hi__001.wav,1,12.0,12.779,eot
hi__004,audio/hi__004.wav,0,9.9,10.238,eot
hi__005,audio/hi__005.wav,0,5.0,5.5,hold
hi__005,audio/hi__005.wav,1,7.5,9.262,eot
hi__009,audio/hi__009.wav,0,4.1,5.033,eot
hi__010,audio/hi__010.wav,0,4.1,4.3,hold
hi__010,audio/hi__010.wav,1,6.3,7.0,hold
hi__010,audio/hi__010.wav,2,11.0,11.6,hold
hi__010,audio/hi__010.wav,3,11.9,12.166,eot
hi__011,audio/hi__011.wav,0,6.0,6.5,hold
hi__011,audio/hi__011.wav,1,10.5,11.2,hold
hi__011,audio/hi__011.wav,2,12.2,13.343,eot
hi__012,audio/hi__012.wav,0,4.5,4.9,hold
hi__012,audio/hi__012.wav,1,13.3,13.5,hold
hi__012,audio/hi__012.wav,2,22.7,23.0,hold
hi__012,audio/hi__012.wav,3,29.7,29.8,hold
hi__012,audio/hi__012.wav,4,33.0,33.1,hold
hi__012,audio/hi__012.wav,5,39.1,41.471,eot
hi__014,audio/hi__014.wav,0,2.9,3.3,hold
hi__014,audio/hi__014.wav,1,5.2,5.4,hold
hi__014,audio/hi__014.wav,2,7.3,7.4,hold
hi__014,audio/hi__014.wav,3,8.6,8.8,hold
hi__014,audio/hi__014.wav,4,13.0,13.7,hold
hi__014,audio/hi__014.wav,5,16.5,16.801,eot
hi__015,audio/hi__015.wav,0,3.8,5.11,eot
hi__017,audio/hi__017.wav,0,7.1,7.5,hold
hi__017,audio/hi__017.wav,1,16.5,16.65,eot
hi__019,audio/hi__019.wav,0,12.4,12.9,hold
hi__019,audio/hi__019.wav,1,17.4,17.7,hold
hi__019,audio/hi__019.wav,2,18.9,19.1,hold
hi__019,audio/hi__019.wav,3,21.1,21.4,hold
hi__019,audio/hi__019.wav,4,23.1,24.059,eot
hi__020,audio/hi__020.wav,0,5.6,5.8,hold
hi__020,audio/hi__020.wav,1,6.4,7.207,eot
hi__021,audio/hi__021.wav,0,1.7,2.533,eot
hi__023,audio/hi__023.wav,0,2.5,3.508,eot
hi__025,audio/hi__025.wav,0,2.3,2.8,hold
hi__025,audio/hi__025.wav,1,3.9,4.2,hold
hi__025,audio/hi__025.wav,2,6.2,7.698,eot
hi__028,audio/hi__028.wav,0,5.6,6.0,hold
hi__028,audio/hi__028.wav,1,8.5,9.925,eot
hi__029,audio/hi__029.wav,0,4.9,5.4,hold
hi__029,audio/hi__029.wav,1,7.1,7.2,hold
hi__029,audio/hi__029.wav,2,10.2,11.7,hold
hi__029,audio/hi__029.wav,3,12.4,14.137,eot
hi__031,audio/hi__031.wav,0,7.1,7.6,hold
hi__031,audio/hi__031.wav,1,9.5,10.506,eot
hi__032,audio/hi__032.wav,0,4.1,4.4,hold
hi__032,audio/hi__032.wav,1,5.7,6.033,eot
hi__034,audio/hi__034.wav,0,4.9,5.1,hold
hi__034,audio/hi__034.wav,1,12.4,12.9,hold
hi__034,audio/hi__034.wav,2,17.2,17.889,eot
hi__035,audio/hi__035.wav,0,5.3,5.47,eot
hi__036,audio/hi__036.wav,0,7.3,7.4,hold
hi__036,audio/hi__036.wav,1,8.7,9.3,hold
hi__036,audio/hi__036.wav,2,10.5,11.3,hold
hi__036,audio/hi__036.wav,3,12.5,12.9,hold
hi__036,audio/hi__036.wav,4,13.2,13.8,hold
hi__036,audio/hi__036.wav,5,14.2,15.0,hold
hi__036,audio/hi__036.wav,6,15.5,16.604,eot
hi__037,audio/hi__037.wav,0,2.5,2.7,hold
hi__037,audio/hi__037.wav,1,3.9,4.5,hold
hi__037,audio/hi__037.wav,2,7.6,8.16,eot
hi__038,audio/hi__038.wav,0,3.7,4.1,hold
hi__038,audio/hi__038.wav,1,6.8,6.9,hold
hi__038,audio/hi__038.wav,2,9.9,10.3,hold
hi__038,audio/hi__038.wav,3,12.2,13.992,eot
hi__039,audio/hi__039.wav,0,5.7,6.004,eot
hi__040,audio/hi__040.wav,0,4.0,4.4,hold
hi__040,audio/hi__040.wav,1,6.8,7.1,hold
hi__040,audio/hi__040.wav,2,11.2,12.882,eot
hi__041,audio/hi__041.wav,0,2.7,2.9,hold
hi__041,audio/hi__041.wav,1,3.7,5.129,eot
hi__042,audio/hi__042.wav,0,4.9,5.2,hold
hi__042,audio/hi__042.wav,1,12.3,13.0,eot
hi__044,audio/hi__044.wav,0,6.1,6.5,hold
hi__044,audio/hi__044.wav,1,9.9,10.932,eot
hi__046,audio/hi__046.wav,0,3.8,4.2,hold
hi__046,audio/hi__046.wav,1,5.1,5.9,hold
hi__046,audio/hi__046.wav,2,10.1,10.555,eot
hi__047,audio/hi__047.wav,0,2.0,3.09,eot
hi__049,audio/hi__049.wav,0,1.1,2.805,eot
hi__050,audio/hi__050.wav,0,3.7,3.85,eot
hi__052,audio/hi__052.wav,0,7.1,8.295,eot
hi__057,audio/hi__057.wav,0,2.9,3.6,hold
hi__057,audio/hi__057.wav,1,4.5,4.829,eot
hi__058,audio/hi__058.wav,0,3.3,3.8,hold
hi__058,audio/hi__058.wav,1,6.5,8.934,eot
hi__059,audio/hi__059.wav,0,5.2,5.4,hold
hi__059,audio/hi__059.wav,1,6.4,6.9,hold
hi__059,audio/hi__059.wav,2,9.8,10.694,eot
hi__061,audio/hi__061.wav,0,6.3,6.5,hold
hi__061,audio/hi__061.wav,1,9.9,11.434,eot
hi__064,audio/hi__064.wav,0,3.8,4.1,hold
hi__064,audio/hi__064.wav,1,5.5,6.0,hold
hi__064,audio/hi__064.wav,2,6.9,7.4,hold
hi__064,audio/hi__064.wav,3,7.9,8.1,hold
hi__064,audio/hi__064.wav,4,10.0,11.01,eot
hi__065,audio/hi__065.wav,0,2.0,3.563,eot
hi__066,audio/hi__066.wav,0,23.0,23.4,hold
hi__066,audio/hi__066.wav,1,25.0,25.2,hold
hi__066,audio/hi__066.wav,2,25.6,26.187,eot
hi__067,audio/hi__067.wav,0,4.1,4.829,eot
hi__069,audio/hi__069.wav,0,1.2,1.4,hold
hi__069,audio/hi__069.wav,1,2.8,2.9,hold
hi__069,audio/hi__069.wav,2,4.2,4.7,hold
hi__069,audio/hi__069.wav,3,5.8,5.9,hold
hi__069,audio/hi__069.wav,4,8.1,8.9,hold
hi__069,audio/hi__069.wav,5,11.7,12.117,eot
hi__070,audio/hi__070.wav,0,6.0,6.3,hold
hi__070,audio/hi__070.wav,1,7.2,8.139,eot
hi__072,audio/hi__072.wav,0,3.9,4.1,hold
hi__072,audio/hi__072.wav,1,4.6,5.46,eot
