turn_id,pause_index,p_eot
hi__000,0,0.202059
hi__000,1,0.373766
hi__000,2,0.701907
hi__001,0,0.314747
hi__001,1,0.444967
hi__002,0,0.664894
hi__003,0,0.593988
hi__004,0,0.651196
hi__005,0,0.107997
hi__005,1,0.872046
hi__006,0,0.185531
hi__006,1,0.807251
hi__006,2,0.509577
hi__007,0,0.364697
hi__007,1,0.552970
hi__007,2,0.728171
hi__007,3,0.601175
hi__007,4,0.593905
hi__007,5,0.769595
hi__008,0,0.363511
hi__009,0,0.636023
hi__010,0,0.147344
hi__010,1,0.194462
hi__010,2,0.457273
hi__010,3,0.885562
hi__011,0,0.152737
hi__011,1,0.316239
hi__011,2,0.465651
hi__012,0,0.318584
hi__012,1,0.389655
hi__012,2,0.392350
hi__012,3,0.604655
hi__012,4,0.596703
hi__012,5,0.716269
hi__013,0,0.631624
hi__014,0,0.387186
hi__014,1,0.371580
hi__014,2,0.406479
hi__014,3,0.660332
hi__014,4,0.462763
hi__014,5,0.540407
hi__015,0,0.564180
hi__016,0,0.434507
hi__017,0,0.506702
hi__017,1,0.761369
hi__018,0,0.343784
hi__018,1,0.475418
hi__018,2,0.763789
hi__019,0,0.181599
hi__019,1,0.335117
hi__019,2,0.819157
hi__019,3,0.638387
hi__019,4,0.713203
hi__020,0,0.638928
hi__020,1,0.669985
hi__021,0,0.622004
hi__022,0,0.205272
hi__022,1,0.182475
hi__022,2,0.540123
hi__022,3,0.235192
hi__022,4,0.324782
hi__022,5,0.532271
hi__022,6,0.612275
hi__022,7,0.813424
hi__023,0,0.726712
hi__024,0,0.624118
hi__025,0,0.383573
hi__025,1,0.362721
hi__025,2,0.596291
hi__026,0,0.799496
hi__027,0,0.237199
hi__027,1,0.485357
hi__028,0,0.341302
hi__028,1,0.410854
hi__029,0,0.494577
hi__029,1,0.272358
hi__029,2,0.606756
hi__029,3,0.807303
hi__030,0,0.793710
hi__031,0,0.113390
hi__031,1,0.486570
hi__032,0,0.267664
hi__032,1,0.429259
hi__033,0,0.483841
hi__033,1,0.397457
hi__033,2,0.565748
hi__034,0,0.354696
hi__034,1,0.568202
hi__034,2,0.912357
hi__035,0,0.723779
hi__036,0,0.422504
hi__036,1,0.623074
hi__036,2,0.520784
hi__036,3,0.301062
hi__036,4,0.585854
hi__036,5,0.418302
hi__036,6,0.737540
hi__037,0,0.325543
hi__037,1,0.423646
hi__037,2,0.987677
hi__038,0,0.446903
hi__038,1,0.345199
hi__038,2,0.457812
hi__038,3,0.699886
hi__039,0,0.600858
hi__040,0,0.329470
hi__040,1,0.236969
hi__040,2,0.518443
hi__041,0,0.520158
hi__041,1,0.799248
hi__042,0,0.215623
hi__042,1,0.783941
hi__043,0,0.472654
hi__043,1,0.658968
hi__044,0,0.350515
hi__044,1,0.312562
hi__045,0,0.408572
hi__045,1,0.814279
hi__046,0,0.301813
hi__046,1,0.258206
hi__046,2,0.653141
hi__047,0,0.516282
hi__048,0,0.470791
hi__049,0,0.737138
hi__050,0,0.629760
hi__051,0,0.354771
hi__051,1,0.904608
hi__051,2,0.985602
hi__052,0,0.625222
hi__053,0,0.237414
hi__053,1,0.300856
hi__053,2,0.499504
hi__054,0,0.355191
hi__054,1,0.920500
hi__055,0,0.210576
hi__055,1,0.544152
hi__056,0,0.627368
hi__057,0,0.174049
hi__057,1,0.800761
hi__058,0,0.476075
hi__058,1,0.679431
hi__059,0,0.197191
hi__059,1,0.394484
hi__059,2,0.568381
hi__060,0,0.401956
hi__060,1,0.509147
hi__061,0,0.319424
hi__061,1,0.579167
hi__062,0,0.618117
hi__063,0,0.094191
hi__063,1,0.360163
hi__063,2,0.462066
hi__063,3,0.848411
hi__064,0,0.441370
hi__064,1,0.424056
hi__064,2,0.564639
hi__064,3,0.564079
hi__064,4,0.935695
hi__065,0,0.416890
hi__066,0,0.102276
hi__066,1,0.483365
