turn_id,pause_index,p_eot
hi__000,0,0.178897
hi__000,1,0.515239
hi__000,2,0.724857
hi__001,0,0.478586
hi__001,1,0.397405
hi__002,0,0.660802
hi__003,0,0.371989
hi__004,0,0.132389
hi__005,0,0.158474
hi__005,1,0.550801
hi__006,0,0.104434
hi__006,1,0.751982
hi__006,2,0.504359
hi__007,0,0.253568
hi__007,1,0.728752
hi__007,2,0.787058
hi__007,3,0.679409
hi__007,4,0.765102
hi__007,5,0.775582
hi__008,0,0.303803
hi__009,0,0.558378
hi__010,0,0.191472
hi__010,1,0.233310
hi__010,2,0.608996
hi__010,3,0.936623
hi__011,0,0.129742
hi__011,1,0.305439
hi__011,2,0.316711
hi__012,0,0.317667
hi__012,1,0.365054
hi__012,2,0.489961
hi__012,3,0.733630
hi__012,4,0.381621
hi__012,5,0.821652
hi__013,0,0.680909
hi__014,0,0.500781
hi__014,1,0.462780
hi__014,2,0.375312
hi__014,3,0.669432
hi__014,4,0.700556
hi__014,5,0.550147
hi__015,0,0.520733
hi__016,0,0.323805
hi__017,0,0.853413
hi__017,1,0.664073
hi__018,0,0.407597
hi__018,1,0.429600
hi__018,2,0.766698
hi__019,0,0.304832
hi__019,1,0.252232
hi__019,2,0.866164
hi__019,3,0.762585
hi__019,4,0.738327
hi__020,0,0.531805
hi__020,1,0.614314
hi__021,0,0.591763
hi__022,0,0.209862
hi__022,1,0.217270
hi__022,2,0.461526
hi__022,3,0.313788
hi__022,4,0.263473
hi__022,5,0.702068
hi__022,6,0.771351
hi__022,7,0.635302
hi__023,0,0.792507
hi__024,0,0.476249
hi__025,0,0.303586
hi__025,1,0.349865
hi__025,2,0.515003
hi__026,0,0.653145
hi__027,0,0.419815
hi__027,1,0.426521
hi__028,0,0.220304
hi__028,1,0.247616
hi__029,0,0.489293
hi__029,1,0.280171
hi__029,2,0.646129
hi__029,3,0.904953
hi__030,0,0.790983
hi__031,0,0.124326
hi__031,1,0.427740
hi__032,0,0.091836
hi__032,1,0.203729
hi__033,0,0.618358
hi__033,1,0.460872
hi__033,2,0.205361
hi__034,0,0.361497
hi__034,1,0.687307
hi__034,2,0.812726
hi__035,0,0.580866
hi__036,0,0.620973
hi__036,1,0.802144
hi__036,2,0.636928
hi__036,3,0.509530
hi__036,4,0.825976
hi__036,5,0.815666
hi__036,6,0.868995
hi__037,0,0.299493
hi__037,1,0.493499
hi__037,2,0.998781
hi__038,0,0.509722
hi__038,1,0.223419
hi__038,2,0.417004
hi__038,3,0.592862
hi__039,0,0.533485
hi__040,0,0.217261
hi__040,1,0.193798
hi__040,2,0.281951
hi__041,0,0.358180
hi__041,1,0.646841
hi__042,0,0.177196
hi__042,1,0.617625
hi__043,0,0.522732
hi__043,1,0.590017
hi__044,0,0.309757
hi__044,1,0.217114
hi__045,0,0.496182
hi__045,1,0.753948
hi__046,0,0.379512
hi__046,1,0.581554
hi__046,2,0.500393
hi__047,0,0.464296
hi__048,0,0.419639
hi__049,0,0.591170
hi__050,0,0.489873
hi__051,0,0.256987
hi__051,1,0.842042
hi__051,2,0.775624
hi__052,0,0.556457
hi__053,0,0.243976
hi__053,1,0.396289
hi__053,2,0.465337
hi__054,0,0.268937
hi__054,1,0.871929
hi__055,0,0.330670
hi__055,1,0.543189
hi__056,0,0.537745
hi__057,0,0.190883
hi__057,1,0.862960
hi__058,0,0.411399
hi__058,1,0.523543
hi__059,0,0.172201
hi__059,1,0.527642
hi__059,2,0.666020
hi__060,0,0.437462
hi__060,1,0.172974
hi__061,0,0.338859
hi__061,1,0.544096
hi__062,0,0.653044
hi__063,0,0.130672
hi__063,1,0.546374
hi__063,2,0.548245
hi__063,3,0.883719
hi__064,0,0.371112
hi__064,1,0.326470
hi__064,2,0.547423
hi__064,3,0.402052
hi__064,4,0.934727
hi__065,0,0.266506
hi__066,0,0.281980
hi__066,1,0.719125
hi__066,2,0.877549
hi__067,0,0.604043
hi__068,0,0.763088
hi__069,0,0.516559
hi__069,1,0.519828
hi__069,2,0.201375
hi__069,3,0.440023
hi__069,4,0.338639
hi__069,5,0.598455
hi__070,0,0.603183
hi__070,1,0.574729
hi__071,0,0.117628
hi__071,1,0.234318
hi__071,2,0.533405
hi__072,0,0.839839
hi__072,1,0.589694
hi__073,0,0.115442
hi__073,1,0.477588
hi__073,2,0.501918
hi__073,3,0.824742
hi__073,4,0.800271
hi__073,5,0.582682
hi__074,0,0.680600
hi__074,1,0.504404
hi__075,0,0.189321
hi__075,1,0.654546
hi__076,0,0.546929
hi__077,0,0.167912
hi__077,1,0.313253
hi__077,2,0.673026
hi__078,0,0.617676
hi__078,1,0.644777
hi__078,2,0.634741
hi__078,3,0.933397
hi__079,0,0.365783
hi__079,1,0.485033
hi__079,2,0.960898
hi__080,0,0.240380
hi__080,1,0.678742
hi__081,0,0.352891
hi__081,1,0.679836
hi__081,2,0.558405
hi__082,0,0.520561
hi__083,0,0.673903
hi__084,0,0.542369
hi__085,0,0.716881
hi__085,1,0.501542
hi__085,2,0.695023
hi__086,0,0.713366
hi__086,1,0.715994
hi__087,0,0.736390
hi__087,1,0.392459
hi__087,2,0.998754
hi__088,0,0.601010
hi__088,1,0.386898
hi__088,2,1.000000
hi__089,0,0.417356
hi__089,1,0.303412
hi__089,2,0.429637
hi__090,0,0.574493
hi__090,1,0.447036
hi__090,2,0.746597
hi__090,3,0.269466
hi__091,0,0.656466
hi__092,0,0.101258
hi__093,0,0.473114
hi__094,0,0.310989
hi__094,1,0.560374
hi__094,2,0.799964
hi__094,3,0.599010
hi__094,4,0.450695
hi__094,5,0.902752
hi__095,0,0.626819
hi__095,1,0.695606
hi__096,0,0.351281
hi__096,1,0.704459
hi__096,2,0.532878
hi__096,3,0.708578
hi__097,0,0.416272
hi__097,1,0.752731
hi__097,2,0.607802
hi__097,3,0.610630
hi__097,4,0.631550
hi__097,5,0.442369
hi__098,0,0.457793
hi__099,0,0.388004
hi__099,1,0.870333
