turn_id,pause_index,p_eot
hi__000,0,0.206261
hi__000,1,0.338721
hi__000,2,0.630898
hi__001,0,0.284427
hi__001,1,0.399451
hi__002,0,0.599829
hi__003,0,0.539075
hi__004,0,0.584301
hi__005,0,0.111739
hi__005,1,0.774940
hi__006,0,0.192280
hi__006,1,0.722246
hi__006,2,0.456330
hi__007,0,0.365808
hi__007,1,0.503938
hi__007,2,0.650299
hi__007,3,0.576575
hi__007,4,0.539518
hi__007,5,0.699190
hi__008,0,0.329742
hi__009,0,0.574804
hi__010,0,0.147979
hi__010,1,0.179689
hi__010,2,0.415589
hi__010,3,0.821878
hi__011,0,0.152613
hi__011,1,0.293581
hi__011,2,0.425602
hi__012,0,0.318777
hi__012,1,0.381682
hi__012,2,0.381681
hi__012,3,0.536072
hi__012,4,0.540329
hi__012,5,0.638932
hi__013,0,0.632522
hi__014,0,0.386189
hi__014,1,0.343255
hi__014,2,0.368606
hi__014,3,0.590897
hi__014,4,0.405833
hi__014,5,0.505778
hi__015,0,0.563119
hi__016,0,0.394079
hi__017,0,0.459326
hi__017,1,0.689615
hi__018,0,0.343813
hi__018,1,0.444295
hi__018,2,0.671002
hi__019,0,0.163973
hi__019,1,0.305209
hi__019,2,0.730353
hi__019,3,0.569710
hi__019,4,0.640676
hi__020,0,0.562833
hi__020,1,0.608956
hi__021,0,0.622716
hi__022,0,0.205288
hi__022,1,0.168638
hi__022,2,0.487044
hi__022,3,0.222497
hi__022,4,0.304344
hi__022,5,0.492413
hi__022,6,0.556874
hi__022,7,0.700258
hi__023,0,0.656293
hi__024,0,0.623512
hi__025,0,0.383755
hi__025,1,0.329360
hi__025,2,0.535717
hi__026,0,0.720121
hi__027,0,0.238772
hi__027,1,0.445321
hi__028,0,0.305454
hi__028,1,0.389120
hi__029,0,0.446107
hi__029,1,0.252864
hi__029,2,0.542671
hi__029,3,0.717266
hi__030,0,0.719394
hi__031,0,0.113327
hi__031,1,0.438508
hi__032,0,0.274440
hi__032,1,0.415252
hi__033,0,0.436567
hi__033,1,0.353211
hi__033,2,0.540209
hi__034,0,0.355521
hi__034,1,0.506740
hi__034,2,0.788058
hi__035,0,0.648359
hi__036,0,0.378727
hi__036,1,0.552551
hi__036,2,0.457676
hi__036,3,0.285300
hi__036,4,0.527366
hi__036,5,0.404391
hi__036,6,0.657019
hi__037,0,0.332185
hi__037,1,0.388881
hi__037,2,0.861584
hi__038,0,0.405459
hi__038,1,0.320814
hi__038,2,0.413421
hi__038,3,0.632138
hi__039,0,0.544056
hi__040,0,0.329679
hi__040,1,0.224639
hi__040,2,0.471026
hi__041,0,0.470643
hi__041,1,0.719864
hi__042,0,0.223988
hi__042,1,0.695681
hi__043,0,0.427211
hi__043,1,0.590987
hi__044,0,0.316296
hi__044,1,0.285816
hi__045,0,0.408418
hi__045,1,0.721043
hi__046,0,0.304672
hi__046,1,0.250260
hi__046,2,0.590430
hi__047,0,0.522719
hi__048,0,0.470385
hi__049,0,0.666043
hi__050,0,0.568489
hi__051,0,0.320873
hi__051,1,0.771226
hi__051,2,0.852729
hi__052,0,0.562359
hi__053,0,0.215374
hi__053,1,0.269633
hi__053,2,0.449136
hi__054,0,0.320364
hi__054,1,0.774831
hi__055,0,0.210801
hi__055,1,0.489213
hi__056,0,0.627618
hi__057,0,0.176080
hi__057,1,0.718675
hi__058,0,0.429303
hi__058,1,0.595004
hi__059,0,0.197461
hi__059,1,0.366428
hi__059,2,0.507066
hi__060,0,0.402714
hi__060,1,0.485211
hi__061,0,0.288695
hi__061,1,0.515117
hi__062,0,0.617935
hi__063,0,0.095060
hi__063,1,0.335133
hi__063,2,0.417761
hi__063,3,0.761769
hi__064,0,0.441065
hi__064,1,0.385479
hi__064,2,0.516099
hi__064,3,0.529146
hi__064,4,0.832086
hi__065,0,0.417739
hi__066,0,0.104278
hi__066,1,0.426891
hi__066,2,0.649991
hi__067,0,0.579923
