turn_id,pause_index,p_eot
hi__000,0,0.183243
hi__000,1,0.466931
hi__000,2,0.651526
hi__001,0,0.432483
hi__001,1,0.356754
hi__002,0,0.596137
hi__003,0,0.337599
hi__004,0,0.118789
hi__005,0,0.165436
hi__005,1,0.489467
hi__006,0,0.109279
hi__006,1,0.672797
hi__006,2,0.451657
hi__007,0,0.254276
hi__007,1,0.664424
hi__007,2,0.702889
hi__007,3,0.657933
hi__007,4,0.695037
hi__007,5,0.704629
hi__008,0,0.275581
hi__009,0,0.504633
hi__010,0,0.192434
hi__010,1,0.216214
hi__010,2,0.553976
hi__010,3,0.876236
hi__011,0,0.129637
hi__011,1,0.284621
hi__011,2,0.289750
hi__012,0,0.317892
hi__012,1,0.364164
hi__012,2,0.483992
hi__012,3,0.650419
hi__012,4,0.345567
hi__012,5,0.732936
hi__013,0,0.681780
hi__014,0,0.499449
hi__014,1,0.428727
hi__014,2,0.340501
hi__014,3,0.599041
hi__014,4,0.614372
hi__014,5,0.517584
hi__015,0,0.519754
hi__016,0,0.293677
hi__017,0,0.773631
hi__017,1,0.601811
hi__018,0,0.407629
hi__018,1,0.403468
hi__018,2,0.673558
hi__019,0,0.275245
hi__019,1,0.229796
hi__019,2,0.772263
hi__019,3,0.680547
hi__019,4,0.663245
hi__020,0,0.468468
hi__020,1,0.558356
hi__021,0,0.592384
hi__022,0,0.209882
hi__022,1,0.201384
hi__022,2,0.416170
hi__022,3,0.298982
hi__022,4,0.248238
hi__022,5,0.651526
hi__022,6,0.701971
hi__022,7,0.546917
hi__023,0,0.715713
hi__024,0,0.475817
hi__025,0,0.303718
hi__025,1,0.317687
hi__025,2,0.462686
hi__026,0,0.588300
hi__027,0,0.422370
hi__027,1,0.391982
hi__028,0,0.197165
hi__028,1,0.236251
hi__029,0,0.441341
hi__029,1,0.261098
hi__029,2,0.577885
hi__029,3,0.804025
hi__030,0,0.716923
hi__031,0,0.124258
hi__031,1,0.385489
hi__032,0,0.094653
hi__032,1,0.199651
hi__033,0,0.557940
hi__033,1,0.409567
hi__033,2,0.197835
hi__034,0,0.362477
hi__034,1,0.612961
hi__034,2,0.702001
hi__035,0,0.520382
hi__036,0,0.556633
hi__036,1,0.711353
hi__036,2,0.559745
hi__036,3,0.486475
hi__036,4,0.743515
hi__036,5,0.798607
hi__036,6,0.774122
hi__037,0,0.305105
hi__037,1,0.453375
hi__037,2,0.871270
hi__038,0,0.462452
hi__038,1,0.208457
hi__038,2,0.376569
hi__038,3,0.535473
hi__039,0,0.483052
hi__040,0,0.217528
hi__040,1,0.185103
hi__040,2,0.256167
hi__041,0,0.324084
hi__041,1,0.582595
hi__042,0,0.186030
hi__042,1,0.548090
hi__043,0,0.472474
hi__043,1,0.529149
hi__044,0,0.279517
hi__044,1,0.198909
hi__045,0,0.495995
hi__045,1,0.667620
hi__046,0,0.382812
hi__046,1,0.571467
hi__046,2,0.452348
hi__047,0,0.469610
hi__048,0,0.419278
hi__049,0,0.534153
hi__050,0,0.442212
hi__051,0,0.232432
hi__051,1,0.717885
hi__051,2,0.671059
hi__052,0,0.500508
hi__053,0,0.221326
hi__053,1,0.355163
hi__053,2,0.418414
hi__054,0,0.242568
hi__054,1,0.733947
hi__055,0,0.331104
hi__055,1,0.488347
hi__056,0,0.537994
hi__057,0,0.192928
hi__057,1,0.774498
hi__058,0,0.370981
hi__058,1,0.458487
hi__059,0,0.172633
hi__059,1,0.492007
hi__059,2,0.594173
hi__060,0,0.438219
hi__060,1,0.165525
hi__061,0,0.306261
hi__061,1,0.483924
hi__062,0,0.652852
hi__063,0,0.132076
hi__063,1,0.510524
hi__063,2,0.495677
hi__063,3,0.793470
hi__064,0,0.370856
hi__064,1,0.296770
hi__064,2,0.500846
hi__064,3,0.379281
hi__064,4,0.831224
hi__065,0,0.267004
hi__066,0,0.288425
hi__066,1,0.635106
hi__066,2,0.763595
hi__067,0,0.545396
hi__068,0,0.763039
hi__069,0,0.515762
hi__069,1,0.471863
hi__069,2,0.195815
hi__069,3,0.400905
hi__069,4,0.309370
hi__069,5,0.545148
hi__070,0,0.546634
hi__070,1,0.523682
hi__071,0,0.106375
hi__071,1,0.205987
hi__071,2,0.448994
hi__072,0,0.755820
hi__072,1,0.526059
hi__073,0,0.116391
hi__073,1,0.422838
hi__073,2,0.456894
hi__073,3,0.742523
hi__073,4,0.794612
hi__073,5,0.533762
hi__074,0,0.610618
hi__074,1,0.454810
hi__075,0,0.198794
hi__075,1,0.577968
hi__076,0,0.489123
hi__077,0,0.169730
hi__077,1,0.286309
hi__077,2,0.612291
hi__078,0,0.558142
hi__078,1,0.569839
hi__078,2,0.563200
