turn_id,pause_index,p_eot
en__000,0,0.129843
en__000,1,0.214609
en__000,2,0.320798
en__000,3,0.571490
en__001,0,0.400734
en__001,1,0.612627
en__002,0,0.271383
en__002,1,0.497778
en__002,2,0.572771
en__002,3,0.658004
en__002,4,0.478534
en__002,5,0.701775
en__002,6,0.691920
en__003,0,0.223468
en__004,0,0.162152
en__004,1,0.612710
en__005,0,0.230465
en__005,1,0.583027
en__006,0,0.220761
en__006,1,0.591451
en__006,2,0.744533
en__007,0,0.141681
en__007,1,0.215240
en__007,2,0.266972
en__007,3,0.224510
en__007,4,0.541547
en__007,5,0.536729
en__007,6,0.496145
en__008,0,0.400551
en__008,1,0.470499
en__008,2,0.367278
en__008,3,0.778802
en__009,0,0.360744
en__010,0,0.422335
en__010,1,0.433753
en__011,0,0.596166
en__012,0,0.199515
en__012,1,0.166850
en__012,2,0.323210
en__013,0,0.386246
en__014,0,0.191290
en__014,1,0.773651
en__015,0,0.156620
en__015,1,0.309434
en__016,0,0.222584
en__016,1,0.448573
en__016,2,0.465586
en__017,0,0.300113
en__017,1,0.659329
en__018,0,0.288272
en__018,1,0.197273
en__018,2,0.344347
en__018,3,0.426351
en__018,4,0.273583
en__018,5,0.579369
en__019,0,0.336967
en__020,0,0.192612
en__020,1,0.363353
en__020,2,0.787736
en__021,0,0.496248
en__022,0,0.357061
en__022,1,0.611338
en__023,0,0.249609
en__023,1,0.409356
en__023,2,0.435331
en__024,0,0.327031
en__024,1,0.554753
en__024,2,0.607006
en__025,0,0.315809
en__026,0,0.526314
en__027,0,0.574485
en__027,1,0.832838
en__028,0,0.504244
en__028,1,0.643348
en__029,0,0.414896
en__029,1,0.252220
en__029,2,0.754256
en__030,0,0.338974
en__030,1,0.645735
en__030,2,0.367457
en__030,3,0.548579
en__030,4,0.803431
en__031,0,0.431865
en__032,0,0.302936
en__032,1,0.381018
en__033,0,0.505706
en__034,0,0.349049
en__034,1,0.613265
en__035,0,0.577239
en__035,1,0.386410
en__035,2,0.627206
en__036,0,0.217616
en__036,1,0.664270
en__036,2,0.427446
en__037,0,0.280679
en__037,1,0.289196
en__037,2,0.432342
en__037,3,0.735536
en__038,0,0.271517
en__038,1,0.227719
en__038,2,0.387560
en__038,3,0.490887
en__039,0,0.224360
en__039,1,0.207998
en__039,2,0.448848
en__040,0,0.393647
en__041,0,0.565203
en__042,0,0.130115
en__042,1,0.188046
en__042,2,0.383991
en__042,3,0.315075
en__042,4,0.813691
en__043,0,0.703004
en__044,0,0.143258
en__044,1,0.533788
en__044,2,0.710778
en__045,0,0.130771
en__045,1,0.488350
en__046,0,0.198472
en__046,1,0.471451
en__046,2,0.739505
en__047,0,0.422965
en__048,0,0.087002
en__048,1,0.839684
en__049,0,0.221370
en__049,1,0.406456
en__049,2,0.551003
en__049,3,0.711406
en__049,4,0.549393
en__050,0,0.193888
en__051,0,0.308365
en__051,1,0.496368
en__051,2,0.693743
en__052,0,0.283331
en__052,1,0.522086
en__052,2,0.746442
en__053,0,0.460577
en__053,1,0.613590
en__054,0,0.423586
en__054,1,0.655210
en__055,0,0.374741
en__056,0,0.676971
en__057,0,0.683637
en__058,0,0.579834
en__059,0,0.283714
en__059,1,0.389741
en__059,2,0.730883
en__060,0,0.316964
en__060,1,0.546027
en__061,0,0.447811
en__061,1,0.496806
en__061,2,0.687590
en__062,0,0.655132
en__063,0,0.391604
en__063,1,0.747965
en__064,0,0.332943
en__064,1,0.828990
en__065,0,0.185776
en__065,1,0.336160
en__065,2,0.743497
en__066,0,0.369449
en__066,1,0.653426
en__067,0,0.277121
en__067,1,0.559358
en__067,2,0.707902
en__068,0,0.224833
en__068,1,0.318175
en__068,2,0.627954
en__069,0,0.385420
en__069,1,0.636225
en__070,0,0.149250
en__070,1,0.275947
en__070,2,0.289724
en__070,3,0.378187
en__070,4,0.460409
en__070,5,0.288505
en__070,6,0.693809
en__071,0,0.570855
en__072,0,0.373427
en__073,0,0.276911
en__073,1,0.621399
en__074,0,0.674663
en__075,0,0.460563
en__076,0,0.748190
en__077,0,0.238337
en__077,1,0.473065
en__077,2,0.348750
en__078,0,0.160394
en__079,0,0.522614
en__079,1,0.672226
en__080,0,0.151068
en__080,1,0.200178
en__080,2,0.238228
en__080,3,0.578865
en__080,4,0.396211
en__080,5,0.704897
en__081,0,0.145649
en__081,1,0.259896
en__081,2,0.397610
en__081,3,0.232664
en__081,4,0.694962
en__082,0,0.325438
en__082,1,0.852790
en__083,0,0.236827
en__083,1,0.384943
en__083,2,0.588227
en__084,0,0.528730
en__085,0,0.370446
en__086,0,0.254298
en__086,1,0.162695
en__086,2,0.767666
en__087,0,0.295317
en__088,0,0.231946
en__088,1,0.758713
en__089,0,0.274553
en__089,1,0.305959
en__090,0,0.426522
en__090,1,0.657654
en__090,2,0.743147
en__090,3,0.849510
en__091,0,0.700957
en__091,1,0.504192
en__091,2,0.314600
en__091,3,0.379565
en__091,4,0.461973
en__091,5,0.585058
en__091,6,0.581306
en__091,7,0.728469
en__092,0,0.425316
en__092,1,0.619136
en__093,0,0.096150
en__093,1,0.390070
en__093,2,0.421833
en__093,3,0.298701
en__093,4,0.515760
en__094,0,0.434525
en__094,1,0.535369
en__095,0,0.215074
en__095,1,0.199516
en__095,2,0.285540
en__095,3,0.226963
en__095,4,0.571342
en__095,5,0.379521
en__096,0,0.378365
en__097,0,0.168847
en__097,1,0.352815
en__098,0,0.565010
en__099,0,0.465996
