turn_id,pause_index,p_eot
hi__000,0,0.184799
hi__000,1,0.339787
hi__000,2,0.638097
hi__001,0,0.256561
hi__001,1,0.404515
hi__002,0,0.541405
hi__003,0,0.485476
hi__004,0,0.528468
hi__005,0,0.100113
hi__005,1,0.792769
hi__006,0,0.172273
hi__006,1,0.733864
hi__006,2,0.463252
hi__007,0,0.329006
hi__007,1,0.503250
hi__007,2,0.661973
hi__007,3,0.559659
hi__007,4,0.539914
hi__007,5,0.699632
hi__008,0,0.297012
hi__009,0,0.518471
hi__010,0,0.133055
hi__010,1,0.178068
hi__010,2,0.416631
hi__010,3,0.821063
hi__011,0,0.137394
hi__011,1,0.290180
hi__011,2,0.424332
hi__012,0,0.286861
hi__012,1,0.370232
hi__012,2,0.370231
hi__012,3,0.549686
hi__012,4,0.542457
hi__012,5,0.651154
hi__013,0,0.569119
hi__014,0,0.347963
hi__014,1,0.340212
hi__014,2,0.369955
hi__014,3,0.600301
hi__014,4,0.420694
hi__014,5,0.497665
hi__015,0,0.507165
hi__016,0,0.354984
hi__017,0,0.413842
hi__017,1,0.693078
hi__018,0,0.309426
hi__018,1,0.437529
hi__018,2,0.694354
hi__019,0,0.147953
hi__019,1,0.304899
hi__019,2,0.744688
hi__019,3,0.580352
hi__019,4,0.648366
hi__020,0,0.512628
hi__020,1,0.609078
hi__021,0,0.560303
hi__022,0,0.184756
hi__022,1,0.167103
hi__022,2,0.491021
hi__022,3,0.217624
hi__022,4,0.299257
hi__022,5,0.487654
hi__022,6,0.557436
hi__022,7,0.739476
hi__023,0,0.592133
hi__024,0,0.561398
hi__025,0,0.345343
hi__025,1,0.329746
hi__025,2,0.542083
hi__026,0,0.650368
hi__027,0,0.214582
hi__027,1,0.443045
hi__028,0,0.276535
hi__028,1,0.380357
hi__029,0,0.402680
hi__029,1,0.249923
hi__029,2,0.551596
hi__029,3,0.733912
hi__030,0,0.648184
hi__031,0,0.102016
hi__031,1,0.442337
hi__032,0,0.245884
hi__032,1,0.402795
hi__033,0,0.394020
hi__033,1,0.361325
hi__033,2,0.525650
hi__034,0,0.319805
hi__034,1,0.516548
hi__034,2,0.829415
hi__035,0,0.586818
hi__036,0,0.342666
hi__036,1,0.566431
hi__036,2,0.473440
hi__036,3,0.278785
hi__036,4,0.532595
hi__036,5,0.392259
hi__036,6,0.670491
hi__037,0,0.297641
hi__037,1,0.386794
hi__037,2,0.897888
hi__038,0,0.365189
hi__038,1,0.316905
hi__038,2,0.416193
hi__038,3,0.636260
hi__039,0,0.490386
hi__040,0,0.296806
hi__040,1,0.219468
hi__040,2,0.471332
hi__041,0,0.424331
hi__041,1,0.726589
hi__042,0,0.200682
hi__042,1,0.712673
hi__043,0,0.385325
hi__043,1,0.599062
hi__044,0,0.285461
hi__044,1,0.285482
hi__045,0,0.367628
