turn_id,pause_index,p_eot
hi__000,0,0.164177
hi__000,1,0.468399
hi__000,2,0.658961
hi__001,0,0.390110
hi__001,1,0.361277
hi__002,0,0.538073
hi__003,0,0.304032
hi__004,0,0.107438
hi__005,0,0.148222
hi__005,1,0.500728
hi__006,0,0.097909
hi__006,1,0.683620
hi__006,2,0.458508
hi__007,0,0.228867
hi__007,1,0.663517
hi__007,2,0.715507
hi__007,3,0.638630
hi__007,4,0.695548
hi__007,5,0.705075
hi__008,0,0.248226
hi__009,0,0.455177
hi__010,0,0.173027
hi__010,1,0.214264
hi__010,2,0.555365
hi__010,3,0.875367
hi__011,0,0.116709
hi__011,1,0.281323
hi__011,2,0.288885
hi__012,0,0.286064
hi__012,1,0.353239
hi__012,2,0.469473
hi__012,3,0.666937
hi__012,4,0.346928
hi__012,5,0.746956
hi__013,0,0.613701
hi__014,0,0.450129
hi__014,1,0.424927
hi__014,2,0.341747
hi__014,3,0.608575
hi__014,4,0.636869
hi__014,5,0.509283
hi__015,0,0.468109
hi__016,0,0.264543
hi__017,0,0.697024
hi__017,1,0.604833
hi__018,0,0.366867
hi__018,1,0.397323
hi__018,2,0.696999
hi__019,0,0.248353
hi__019,1,0.229563
hi__019,2,0.787421
hi__019,3,0.693259
hi__019,4,0.671206
hi__020,0,0.426680
hi__020,1,0.558468
hi__021,0,0.533162
hi__022,0,0.188890
hi__022,1,0.199552
hi__022,2,0.419569
hi__022,3,0.292435
hi__022,4,0.244090
hi__022,5,0.645229
hi__022,6,0.702679
hi__022,7,0.577548
hi__023,0,0.645744
hi__024,0,0.428416
hi__025,0,0.273350
hi__025,1,0.318059
hi__025,2,0.468184
hi__026,0,0.531316
hi__027,0,0.380199
hi__027,1,0.389978
hi__028,0,0.178499
hi__028,1,0.230930
hi__029,0,0.398379
hi__029,1,0.258062
hi__029,2,0.587390
hi__029,3,0.822685
hi__030,0,0.645957
hi__031,0,0.111855
hi__031,1,0.388855
hi__032,0,0.084805
hi__032,1,0.193662
hi__033,0,0.503565
hi__033,1,0.418975
hi__033,2,0.192503
hi__034,0,0.326062
hi__034,1,0.624825
hi__034,2,0.738842
hi__035,0,0.470989
hi__036,0,0.503632
hi__036,1,0.729222
hi__036,2,0.579025
hi__036,3,0.475366
hi__036,4,0.750887
hi__036,5,0.774649
hi__036,6,0.789995
hi__037,0,0.274741
hi__037,1,0.451349
hi__037,2,0.907983
hi__038,0,0.416521
hi__038,1,0.205918
hi__038,2,0.379094
hi__038,3,0.538965
hi__039,0,0.435400
hi__040,0,0.195838
hi__040,1,0.180842
hi__040,2,0.256334
hi__041,0,0.292193
hi__041,1,0.588038
hi__042,0,0.166673
hi__042,1,0.561477
hi__043,0,0.426150
hi__043,1,0.536379
hi__044,0,0.252267
hi__044,1,0.198677
hi__045,0,0.446458
hi__045,1,0.685407
hi__046,0,0.344617
hi__046,1,0.554323
hi__046,2,0.454902
hi__047,0,0.422787
hi__048,0,0.377472
hi__049,0,0.481843
hi__050,0,0.399046
hi__051,0,0.209591
hi__051,1,0.765492
hi__051,2,0.705113
hi__052,0,0.452267
hi__053,0,0.199352
hi__053,1,0.360263
hi__053,2,0.423034
hi__054,0,0.218959
hi__054,1,0.792663
hi__055,0,0.297942
hi__055,1,0.493808
hi__056,0,0.484152
hi__057,0,0.173688
hi__057,1,0.784509
hi__058,0,0.334902
hi__058,1,0.475949
hi__059,0,0.155455
hi__059,1,0.486153
hi__059,2,0.605473
hi__060,0,0.394417
hi__060,1,0.161944
hi__061,0,0.276240
hi__061,1,0.494632
hi__062,0,0.587632
hi__063,0,0.118629
hi__063,1,0.503961
hi__063,2,0.498404
hi__063,3,0.803381
hi__064,0,0.333857
hi__064,1,0.296791
hi__064,2,0.499339
hi__064,3,0.372721
hi__064,4,0.849752
hi__065,0,0.240316
hi__066,0,0.258477
hi__066,1,0.653750
hi__066,2,0.797772
hi__067,0,0.492117
hi__068,0,0.686806
hi__069,0,0.464455
hi__069,1,0.472571
hi__069,2,0.189941
hi__069,3,0.400488
hi__069,4,0.308654
hi__069,5,0.544630
hi__070,0,0.492549
hi__070,1,0.523115
hi__071,0,0.095928
hi__071,1,0.213017
hi__071,2,0.484914
hi__072,0,0.682827
hi__072,1,0.536085
hi__073,0,0.104777
hi__073,1,0.434171
hi__073,2,0.456608
hi__073,3,0.749765
