turn_id,pause_index,p_eot
en__000,0,0.144396
en__000,1,0.211558
en__000,2,0.321028
en__000,3,0.559860
en__001,0,0.443420
en__001,1,0.610297
en__002,0,0.301727
en__002,1,0.504619
en__002,2,0.575390
en__002,3,0.655449
en__002,4,0.493334
en__002,5,0.674122
en__002,6,0.713320
en__003,0,0.248958
en__004,0,0.180914
en__004,1,0.584931
en__005,0,0.256365
en__005,1,0.587235
en__006,0,0.245105
en__006,1,0.584295
en__006,2,0.753916
en__007,0,0.157365
en__007,1,0.218542
en__007,2,0.268358
en__007,3,0.220080
en__007,4,0.527327
en__007,5,0.541580
en__007,6,0.478110
en__008,0,0.444349
en__008,1,0.475398
en__008,2,0.367808
en__008,3,0.770889
en__009,0,0.398332
en__010,0,0.469146
en__010,1,0.433398
en__011,0,0.661580
en__012,0,0.221667
en__012,1,0.168034
en__012,2,0.318280
en__013,0,0.430016
en__014,0,0.212387
en__014,1,0.770369
en__015,0,0.174195
en__015,1,0.319004
en__016,0,0.246134
en__016,1,0.456133
en__016,2,0.464312
en__017,0,0.333743
en__017,1,0.648978
en__018,0,0.319854
en__018,1,0.194407
en__018,2,0.343690
en__018,3,0.424984
en__018,4,0.275359
en__018,5,0.569312
en__019,0,0.376100
en__020,0,0.213639
en__020,1,0.370954
en__020,2,0.775625
en__021,0,0.550588
en__022,0,0.395548
en__022,1,0.610391
en__023,0,0.277622
en__023,1,0.400799
en__023,2,0.432611
en__024,0,0.362182
en__024,1,0.542917
en__024,2,0.603665
en__025,0,0.350867
en__026,0,0.585654
en__027,0,0.638070
en__027,1,0.813882
en__028,0,0.561828
en__028,1,0.642664
en__029,0,0.460566
en__029,1,0.260020
en__029,2,0.769651
en__030,0,0.376533
en__030,1,0.635962
en__030,2,0.360207
en__030,3,0.538708
en__030,4,0.790740
en__031,0,0.479803
en__032,0,0.336064
en__032,1,0.385424
en__033,0,0.562704
en__034,0,0.388134
en__034,1,0.612762
en__035,0,0.640690
en__035,1,0.386462
en__035,2,0.615914
en__036,0,0.241624
en__036,1,0.652994
en__036,2,0.417209
en__037,0,0.310999
en__037,1,0.288784
en__037,2,0.445713
en__037,3,0.731901
en__038,0,0.300667
en__038,1,0.227735
en__038,2,0.378258
en__038,3,0.484721
en__039,0,0.249152
en__039,1,0.208829
en__039,2,0.455177
en__040,0,0.436883
en__041,0,0.627508
en__042,0,0.144493
en__042,1,0.188275
en__042,2,0.380238
en__042,3,0.312475
en__042,4,0.793777
en__043,0,0.781829
en__044,0,0.159426
en__044,1,0.531048
en__044,2,0.712758
en__045,0,0.145525
en__045,1,0.500295
en__046,0,0.220408
en__046,1,0.453437
en__046,2,0.727286
en__047,0,0.469888
en__048,0,0.096557
en__048,1,0.814654
en__049,0,0.246766
en__049,1,0.414784
en__049,2,0.553477
en__049,3,0.694831
en__049,4,0.553062
en__050,0,0.216405
en__051,0,0.342531
en__051,1,0.492734
en__051,2,0.658719
en__052,0,0.314185
en__052,1,0.518185
en__052,2,0.744931
en__053,0,0.512343
en__053,1,0.611973
en__054,0,0.470342
en__054,1,0.651266
en__055,0,0.414580
en__056,0,0.750154
en__057,0,0.756037
en__058,0,0.644826
en__059,0,0.314706
en__059,1,0.390242
en__059,2,0.739070
en__060,0,0.351945
en__060,1,0.541620
en__061,0,0.496946
en__061,1,0.483760
en__061,2,0.673007
en__062,0,0.725479
en__063,0,0.434670
en__063,1,0.735379
en__064,0,0.371127
en__064,1,0.824454
en__065,0,0.207275
en__065,1,0.346557
en__065,2,0.724972
en__066,0,0.409218
en__066,1,0.643265
en__067,0,0.308323
en__067,1,0.567388
en__067,2,0.706205
en__068,0,0.249667
en__068,1,0.318648
en__068,2,0.630769
en__069,0,0.425213
en__069,1,0.627139
en__070,0,0.165718
en__070,1,0.276035
en__070,2,0.288828
en__070,3,0.375453
en__070,4,0.461684
en__070,5,0.291317
en__070,6,0.675825
en__071,0,0.632355
en__072,0,0.415562
en__073,0,0.307802
en__073,1,0.615332
en__074,0,0.746157
en__075,0,0.509349
en__076,0,0.826169
en__077,0,0.265438
en__077,1,0.478785
en__077,2,0.355491
en__078,0,0.178411
en__079,0,0.580721
en__079,1,0.666071
en__080,0,0.167895
en__080,1,0.203427
en__080,2,0.237385
en__080,3,0.585711
en__080,4,0.392018
en__080,5,0.704974
en__081,0,0.162477
en__081,1,0.259033
en__081,2,0.402068
en__081,3,0.235005
en__081,4,0.695522
en__082,0,0.362099
en__082,1,0.806243
en__083,0,0.263985
en__083,1,0.394671
en__083,2,0.587870
en__084,0,0.587760
en__085,0,0.411464
en__086,0,0.283633
en__086,1,0.167412
en__086,2,0.754450
en__087,0,0.329614
en__088,0,0.257066
en__088,1,0.744057
en__089,0,0.305111
en__089,1,0.307187
en__090,0,0.473223
en__090,1,0.650196
en__090,2,0.740108
en__090,3,0.821187
en__091,0,0.775692
en__091,1,0.502932
en__091,2,0.312725
en__091,3,0.377049
en__091,4,0.454964
en__091,5,0.567600
en__091,6,0.569167
en__091,7,0.708749
en__092,0,0.473232
en__092,1,0.623559
en__093,0,0.106860
en__093,1,0.386271
en__093,2,0.420974
en__093,3,0.301744
en__093,4,0.520158
en__094,0,0.479944
en__094,1,0.547327
en__095,0,0.238772
en__095,1,0.198604
en__095,2,0.282241
en__095,3,0.225729
en__095,4,0.569386
en__095,5,0.373490
en__096,0,0.420224
en__097,0,0.187571
en__097,1,0.351386
en__098,0,0.627209
en__099,0,0.518531
