turn_id,pause_index,p_eot
hi__000,0,0.206261
hi__000,1,0.355658
hi__000,2,0.662443
hi__001,0,0.298649
hi__001,1,0.419423
hi__002,0,0.629820
hi__003,0,0.566029
hi__004,0,0.613516
hi__005,0,0.111739
hi__005,1,0.813687
hi__006,0,0.192280
hi__006,1,0.758358
hi__006,2,0.479147
hi__007,0,0.365808
hi__007,1,0.529135
hi__007,2,0.682814
hi__007,3,0.605404
hi__007,4,0.566494
hi__007,5,0.734149
hi__008,0,0.346229
hi__009,0,0.603544
hi__010,0,0.147979
hi__010,1,0.188673
hi__010,2,0.436369
hi__010,3,0.862972
hi__011,0,0.160244
hi__011,1,0.308260
hi__011,2,0.446882
hi__012,0,0.334716
hi__012,1,0.400766
hi__012,2,0.400765
hi__012,3,0.562876
hi__012,4,0.567346
hi__012,5,0.670878
hi__013,0,0.664148
hi__014,0,0.405499
hi__014,1,0.360417
hi__014,2,0.387036
hi__014,3,0.620442
hi__014,4,0.426125
hi__014,5,0.531067
hi__015,0,0.591275
hi__016,0,0.413783
hi__017,0,0.482293
hi__017,1,0.724096
hi__018,0,0.361004
hi__018,1,0.466510
hi__018,2,0.704552
hi__019,0,0.172172
hi__019,1,0.320470
hi__019,2,0.766870
hi__019,3,0.598196
hi__019,4,0.672710
hi__020,0,0.590974
hi__020,1,0.639404
hi__021,0,0.653852
hi__022,0,0.215552
hi__022,1,0.177070
hi__022,2,0.511396
hi__022,3,0.233621
hi__022,4,0.319561
hi__022,5,0.517034
hi__022,6,0.584717
hi__022,7,0.735271
hi__023,0,0.689108
hi__024,0,0.654688
hi__025,0,0.402943
hi__025,1,0.345828
hi__025,2,0.562503
hi__026,0,0.756127
hi__027,0,0.238772
hi__027,1,0.467587
hi__028,0,0.320726
hi__028,1,0.408576
hi__029,0,0.468412
hi__029,1,0.265507
hi__029,2,0.569805
hi__029,3,0.753129
hi__030,0,0.755364
hi__031,0,0.118994
hi__031,1,0.460434
hi__032,0,0.274440
hi__032,1,0.436015
hi__033,0,0.458395
hi__033,1,0.370872
hi__033,2,0.567219
hi__034,0,0.355521
hi__034,1,0.532077
hi__034,2,0.827461
hi__035,0,0.680777
hi__036,0,0.397664
hi__036,1,0.580178
hi__036,2,0.480560
hi__036,3,0.299565
hi__036,4,0.553734
hi__036,5,0.424610
hi__036,6,0.689870
hi__037,0,0.332185
hi__037,1,0.408325
hi__037,2,0.904663
hi__038,0,0.425732
hi__038,1,0.336854
hi__038,2,0.434092
hi__038,3,0.663745
hi__039,0,0.571259
hi__040,0,0.346163
hi__040,1,0.235871
hi__040,2,0.494577
hi__041,0,0.494176
hi__041,1,0.755857
hi__042,0,0.223988
hi__042,1,0.730465
hi__043,0,0.448571
hi__043,1,0.620536
hi__044,0,0.332111
hi__044,1,0.300106
hi__045,0,0.428839
hi__045,1,0.757095
hi__046,0,0.304672
hi__046,1,0.262773
hi__046,2,0.619951
hi__047,0,0.522719
hi__048,0,0.493905
hi__049,0,0.699346
hi__050,0,0.596914
hi__051,0,0.336917
hi__051,1,0.809788
hi__051,2,0.895365
hi__052,0,0.590477
hi__053,0,0.226142
hi__053,1,0.283115
hi__053,2,0.471593
hi__054,0,0.336382
hi__054,1,0.813573
hi__055,0,0.221342
hi__055,1,0.513673
hi__056,0,0.658999
hi__057,0,0.176080
hi__057,1,0.754609
hi__058,0,0.450768
hi__058,1,0.624754
hi__059,0,0.197461
hi__059,1,0.384749
hi__059,2,0.532419
hi__060,0,0.422849
hi__060,1,0.509471
hi__061,0,0.303130
hi__061,1,0.540873
hi__062,0,0.648832
hi__063,0,0.095060
hi__063,1,0.351889
hi__063,2,0.438649
hi__063,3,0.799857
hi__064,0,0.463118
hi__064,1,0.404753
hi__064,2,0.541903
hi__064,3,0.555603
hi__064,4,0.873690
hi__065,0,0.438626
hi__066,0,0.104278
hi__066,1,0.448235
hi__066,2,0.682490
hi__067,0,0.608919
hi__068,0,0.809771
hi__069,0,0.537388
hi__069,1,0.506666
hi__069,2,0.333533
hi__069,3,0.581943
hi__069,4,0.424356
hi__069,5,0.628827
hi__070,0,0.513220
hi__070,1,0.545144
hi__071,0,0.132860
hi__071,1,0.272987
hi__071,2,0.650226
hi__072,0,0.648643
hi__072,1,0.637811
hi__073,0,0.216210
hi__073,1,0.502674
hi__073,2,0.478879
hi__073,3,0.697961
hi__073,4,0.567857
hi__073,5,0.646146
hi__074,0,0.403217
hi__074,1,0.416925
hi__075,0,0.221207
