turn_id,pause_index,p_eot
hi__000,0,0.183243
hi__000,1,0.490277
hi__000,2,0.684102
hi__001,0,0.454107
hi__001,1,0.374592
hi__002,0,0.625944
hi__003,0,0.354479
hi__004,0,0.124729
hi__005,0,0.165436
hi__005,1,0.513940
hi__006,0,0.109279
hi__006,1,0.706437
hi__006,2,0.474240
hi__007,0,0.254467
hi__007,1,0.697646
hi__007,2,0.738034
hi__007,3,0.690830
hi__007,4,0.729789
hi__007,5,0.739861
hi__008,0,0.289360
hi__009,0,0.529864
hi__010,0,0.192434
hi__010,1,0.227025
hi__010,2,0.581675
hi__010,3,0.920048
hi__011,0,0.136119
hi__011,1,0.298852
hi__011,2,0.304237
hi__012,0,0.333786
hi__012,1,0.382373
hi__012,2,0.508192
hi__012,3,0.682940
hi__012,4,0.362846
hi__012,5,0.769583
hi__013,0,0.716175
hi__014,0,0.524558
hi__014,1,0.450163
hi__014,2,0.357526
hi__014,3,0.628993
hi__014,4,0.645091
hi__014,5,0.543464
hi__015,0,0.545741
hi__016,0,0.308361
hi__017,0,0.812313
hi__017,1,0.631901
hi__018,0,0.428019
hi__018,1,0.423641
hi__018,2,0.707236
hi__019,0,0.289007
hi__019,1,0.241286
hi__019,2,0.810876
hi__019,3,0.714574
hi__019,4,0.696407
hi__020,0,0.491891
hi__020,1,0.586274
hi__021,0,0.622179
hi__022,0,0.220376
hi__022,1,0.211453
hi__022,2,0.436979
hi__022,3,0.313931
hi__022,4,0.260650
hi__022,5,0.684103
hi__022,6,0.737069
hi__022,7,0.574263
hi__023,0,0.751498
hi__024,0,0.499608
hi__025,0,0.318941
hi__025,1,0.333571
hi__025,2,0.485821
hi__026,0,0.617715
hi__027,0,0.423059
hi__027,1,0.411581
hi__028,0,0.207023
hi__028,1,0.248063
hi__029,0,0.463408
hi__029,1,0.274153
hi__029,2,0.606780
hi__029,3,0.844227
hi__030,0,0.752769
hi__031,0,0.130471
hi__031,1,0.404763
hi__032,0,0.094653
hi__032,1,0.209634
hi__033,0,0.585837
hi__033,1,0.430045
hi__033,2,0.207727
hi__034,0,0.362477
hi__034,1,0.643609
hi__034,2,0.737101
hi__035,0,0.546401
hi__036,0,0.584464
hi__036,1,0.746921
hi__036,2,0.587732
hi__036,3,0.510798
