turn_id,pause_index,p_eot
hi__000,0,0.205642
hi__000,1,0.366970
hi__000,2,0.689145
hi__001,0,0.284854
hi__001,1,0.436877
hi__002,0,0.600984
hi__003,0,0.539304
hi__004,0,0.586225
hi__005,0,0.111404
hi__005,1,0.856191
hi__006,0,0.191703
hi__006,1,0.792574
hi__006,2,0.500312
hi__007,0,0.365644
hi__007,1,0.503250
hi__007,2,0.714931
hi__007,3,0.559659
hi__007,4,0.583107
hi__007,5,0.755603
hi__008,0,0.329923
hi__009,0,0.575653
hi__010,0,0.147886
hi__010,1,0.178068
hi__010,2,0.416631
hi__010,3,0.821063
hi__011,0,0.152644
hi__011,1,0.290180
hi__011,2,0.424332
hi__012,0,0.318749
hi__012,1,0.370232
hi__012,2,0.370231
hi__012,3,0.593661
hi__012,4,0.585854
hi__012,5,0.703246
hi__013,0,0.632410
hi__014,0,0.386481
hi__014,1,0.340212
hi__014,2,0.399551
hi__014,3,0.648326
hi__014,4,0.454349
hi__014,5,0.497665
hi__015,0,0.563384
hi__016,0,0.394311
hi__017,0,0.459659
hi__017,1,0.748524
hi__018,0,0.343809
hi__018,1,0.437529
hi__018,2,0.749902
hi__019,0,0.164253
hi__019,1,0.304899
hi__019,2,0.804263
hi__019,3,0.626780
hi__019,4,0.700235
hi__020,0,0.567335
hi__020,1,0.657804
hi__021,0,0.622611
hi__022,0,0.205286
hi__022,1,0.167103
hi__022,2,0.530303
hi__022,3,0.217624
hi__022,4,0.299257
hi__022,5,0.487654
hi__022,6,0.557436
hi__022,7,0.798634
hi__023,0,0.657382
hi__024,0,0.623688
hi__025,0,0.383728
hi__025,1,0.356126
hi__025,2,0.585450
hi__026,0,0.721794
hi__027,0,0.238540
hi__027,1,0.443045
hi__028,0,0.306659
hi__028,1,0.380357
hi__029,0,0.446984
hi__029,1,0.249923
hi__029,2,0.595724
hi__029,3,0.792625
hi__030,0,0.719934
hi__031,0,0.113343
hi__031,1,0.477724
hi__032,0,0.273616
hi__032,1,0.402795
hi__033,0,0.437389
hi__033,1,0.390231
hi__033,2,0.525650
hi__034,0,0.355400
hi__034,1,0.557871
hi__034,2,0.895769
hi__035,0,0.650799
hi__036,0,0.380069
hi__036,1,0.611745
hi__036,2,0.511316
hi__036,3,0.278785
hi__036,4,0.575202
hi__036,5,0.392259
hi__036,6,0.724130
hi__037,0,0.331203
hi__037,1,0.386794
hi__037,2,0.969719
hi__038,0,0.405663
hi__038,1,0.316905
hi__038,2,0.449488
hi__038,3,0.687160
hi__039,0,0.544601
hi__040,0,0.329749
hi__040,1,0.219468
hi__040,2,0.509038
hi__041,0,0.471200
hi__041,1,0.784716
hi__042,0,0.223316
hi__042,1,0.769687
hi__043,0,0.427829
hi__043,1,0.646987
hi__044,0,0.316884
hi__044,1,0.285482
hi__045,0,0.408457
hi__045,1,0.799474
hi__046,0,0.304251
hi__046,1,0.242752
hi__046,2,0.641265
hi__047,0,0.521769
hi__048,0,0.470487
hi__049,0,0.667064
hi__050,0,0.569494
hi__051,0,0.321284
hi__051,1,0.888161
hi__051,2,0.967682
hi__052,0,0.563865
hi__053,0,0.215488
hi__053,1,0.295386
hi__053,2,0.490422
hi__054,0,0.320998
hi__054,1,0.903763
hi__055,0,0.210777
hi__055,1,0.534258
hi__056,0,0.627581
hi__057,0,0.175780
hi__057,1,0.786202
hi__058,0,0.430176
hi__058,1,0.667077
hi__059,0,0.197533
hi__059,1,0.362068
hi__059,2,0.558046
hi__060,0,0.402602
hi__060,1,0.472650
hi__061,0,0.289118
hi__061,1,0.568637
hi__062,0,0.617981
hi__063,0,0.094932
hi__063,1,0.330824
hi__063,2,0.453664
hi__063,3,0.832986
hi__064,0,0.441141
hi__064,1,0.416346
hi__064,2,0.514546
hi__064,3,0.519994
hi__064,4,0.918683
