turn_id,pause_index,p_eot
hi__000,0,0.182693
hi__000,1,0.505871
hi__000,2,0.711678
hi__001,0,0.433131
hi__001,1,0.390179
hi__002,0,0.597285
hi__003,0,0.337742
hi__004,0,0.119180
hi__005,0,0.164940
hi__005,1,0.540787
hi__006,0,0.108952
hi__006,1,0.738310
hi__006,2,0.495189
hi__007,0,0.254354
hi__007,1,0.663517
hi__007,2,0.772748
hi__007,3,0.638630
hi__007,4,0.751191
hi__007,5,0.761481
hi__008,0,0.275732
hi__009,0,0.505379
hi__010,0,0.192313
hi__010,1,0.214264
hi__010,2,0.555365
hi__010,3,0.875367
hi__011,0,0.129663
hi__011,1,0.281323
hi__011,2,0.288885
hi__012,0,0.317863
hi__012,1,0.353239
hi__012,2,0.469473
hi__012,3,0.720291
hi__012,4,0.374683
hi__012,5,0.806713
hi__013,0,0.681951
hi__014,0,0.499955
hi__014,1,0.424927
hi__014,2,0.369087
hi__014,3,0.657261
hi__014,4,0.687819
hi__014,5,0.509283
hi__015,0,0.519998
hi__016,0,0.293850
hi__017,0,0.774191
hi__017,1,0.653219
hi__018,0,0.407632
hi__018,1,0.397323
hi__018,2,0.752758
hi__019,0,0.275714
hi__019,1,0.229563
hi__019,2,0.850415
hi__019,3,0.748720
hi__019,4,0.724903
hi__020,0,0.472215
hi__020,1,0.603145
hi__021,0,0.592452
hi__022,0,0.209879
hi__022,1,0.199552
hi__022,2,0.453134
hi__022,3,0.292435
hi__022,4,0.244090
hi__022,5,0.645229
hi__022,6,0.702679
hi__022,7,0.623751
hi__023,0,0.716900
hi__024,0,0.475951
hi__025,0,0.303732
hi__025,1,0.343504
hi__025,2,0.505639
hi__026,0,0.589667
hi__027,0,0.422649
hi__027,1,0.389978
hi__028,0,0.197943
hi__028,1,0.230930
hi__029,0,0.442209
hi__029,1,0.258062
hi__029,2,0.634381
hi__029,3,0.888499
hi__030,0,0.717461
hi__031,0,0.124275
hi__031,1,0.419963
hi__032,0,0.094369
hi__032,1,0.193662
hi__033,0,0.558991
hi__033,1,0.452493
hi__033,2,0.192503
hi__034,0,0.362353
hi__034,1,0.674811
hi__034,2,0.797949
hi__035,0,0.522341
hi__036,0,0.558605
hi__036,1,0.787560
hi__036,2,0.625347
hi__036,3,0.475366
hi__036,4,0.810958
hi__036,5,0.774649
hi__036,6,0.853195
hi__037,0,0.305721
hi__037,1,0.451349
hi__037,2,0.980622
hi__038,0,0.462685
hi__038,1,0.205918
hi__038,2,0.409422
hi__038,3,0.582082
hi__039,0,0.483536
hi__040,0,0.217575
hi__040,1,0.180842
hi__040,2,0.276841
hi__041,0,0.324468
hi__041,1,0.635081
hi__042,0,0.185472
hi__042,1,0.606395
hi__043,0,0.473158
hi__043,1,0.579289
hi__044,0,0.280037
hi__044,1,0.198677
hi__045,0,0.496042
hi__045,1,0.740239
hi__046,0,0.383173
hi__046,1,0.554323
hi__046,2,0.491294
hi__047,0,0.470192
hi__048,0,0.419368
hi__049,0,0.534971
hi__050,0,0.442994
hi__051,0,0.232730
hi__051,1,0.826732
hi__051,2,0.761522
hi__052,0,0.501848
hi__053,0,0.221444
hi__053,1,0.389084
hi__053,2,0.456876
hi__054,0,0.243048
hi__054,1,0.856076
hi__055,0,0.331066
hi__055,1,0.533313
hi__056,0,0.537963
hi__057,0,0.193152
hi__057,1,0.847269
hi__058,0,0.371736
hi__058,1,0.514024
hi__059,0,0.172696
hi__059,1,0.486153
hi__059,2,0.653911
hi__060,0,0.438302
hi__060,1,0.161944
hi__061,0,0.306709
hi__061,1,0.534203
hi__062,0,0.652900
hi__063,0,0.131899
hi__063,1,0.503961
hi__063,2,0.538277
hi__063,3,0.867651
hi__064,0,0.370920
hi__064,1,0.320534
hi__064,2,0.499339
hi__064,3,0.372721
hi__064,4,0.917732
hi__065,0,0.267058
hi__066,0,0.287606
hi__066,1,0.706050
hi__066,2,0.861594
hi__067,0,0.546329
hi__068,0,0.763105
hi__069,0,0.515961
hi__069,1,0.510376
hi__069,2,0.189941
hi__069,3,0.400488
hi__069,4,0.308654
hi__069,5,0.544630
hi__070,0,0.547062
hi__070,1,0.523115
hi__071,0,0.106516
hi__071,1,0.230058
hi__071,2,0.523707
hi__072,0,0.757738
hi__072,1,0.578972
hi__073,0,0.116495
hi__073,1,0.468905
hi__073,2,0.456608
hi__073,3,0.809746
hi__073,4,0.770774
hi__073,5,0.531847
hi__074,0,0.612655
hi__074,1,0.495505
hi__075,0,0.198197
hi__075,1,0.642646
hi__076,0,0.491145
hi__077,0,0.169929
hi__077,1,0.285585
hi__077,2,0.612079
hi__078,0,0.558987
hi__078,1,0.633054
hi__078,2,0.623200
hi__078,3,0.916426
hi__079,0,0.365326
hi__079,1,0.476214
hi__079,2,0.943427
hi__080,0,0.217698
hi__080,1,0.666401
hi__081,0,0.319247
hi__081,1,0.667475
hi__081,2,0.516273
hi__082,0,0.469618
hi__083,0,0.608410
hi__084,0,0.545546
hi__085,0,0.636554
hi__085,1,0.457191
hi__085,2,0.682386
hi__086,0,0.646876
hi__086,1,0.702976
hi__087,0,0.665947
hi__087,1,0.385324
hi__087,2,0.980595
hi__088,0,0.542002
hi__088,1,0.353297
hi__088,2,1.000000
hi__089,0,0.377947
hi__089,1,0.297895
hi__089,2,0.421826
hi__090,0,0.520735
hi__090,1,0.438908
hi__090,2,0.733023
hi__090,3,0.253360
hi__091,0,0.593978
hi__092,0,0.104426
