turn_id,pause_index,p_eot
hi__000,0,0.000000
hi__000,1,0.333333
hi__000,2,0.526316
hi__001,0,0.333333
hi__001,1,0.500000
hi__002,0,0.526316
hi__003,0,0.526316
hi__004,0,0.526316
hi__005,0,0.000000
hi__005,1,0.750000
hi__006,0,0.000000
hi__006,1,0.526316
hi__006,2,0.526316
hi__007,0,0.333333
hi__007,1,0.526316
hi__007,2,0.526316
hi__007,3,0.526316
hi__007,4,0.526316
hi__007,5,0.526316
hi__008,0,0.333333
hi__009,0,0.526316
hi__010,0,0.000000
hi__010,1,0.000000
hi__010,2,0.500000
hi__010,3,0.800470
hi__011,0,0.000000
hi__011,1,0.333333
hi__011,2,0.500000
hi__012,0,0.333333
hi__012,1,0.500000
hi__012,2,0.500000
hi__012,3,0.526316
hi__012,4,0.526316
hi__012,5,0.526316
hi__013,0,0.526316
hi__014,0,0.500000
hi__014,1,0.333333
hi__014,2,0.333333
hi__014,3,0.526316
hi__014,4,0.500000
hi__014,5,0.526316
hi__015,0,0.526316
hi__016,0,0.500000
hi__017,0,0.526316
hi__017,1,0.526316
hi__018,0,0.333333
hi__018,1,0.517382
hi__018,2,0.526316
hi__019,0,0.000000
hi__019,1,0.333333
hi__019,2,0.526316
hi__019,3,0.526316
hi__019,4,0.526316
hi__020,0,0.526316
hi__020,1,0.526316
hi__021,0,0.526316
hi__022,0,0.000000
hi__022,1,0.000000
hi__022,2,0.526316
hi__022,3,0.000000
hi__022,4,0.333333
hi__022,5,0.526316
hi__022,6,0.526316
hi__022,7,0.526316
hi__023,0,0.526316
hi__024,0,0.526316
hi__025,0,0.500000
hi__025,1,0.333333
hi__025,2,0.526316
hi__026,0,0.526316
hi__027,0,0.000000
hi__027,1,0.519305
hi__028,0,0.333333
hi__028,1,0.500000
hi__029,0,0.520778
hi__029,1,0.000000
hi__029,2,0.526316
hi__029,3,0.526316
hi__030,0,0.526316
hi__031,0,0.000000
hi__031,1,0.506532
hi__032,0,0.025994
hi__032,1,0.500000
hi__033,0,0.502892
hi__033,1,0.333333
hi__033,2,0.526316
hi__034,0,0.333333
hi__034,1,0.526316
hi__034,2,0.750000
hi__035,0,0.526316
hi__036,0,0.500000
hi__036,1,0.526316
hi__036,2,0.526316
hi__036,3,0.333333
hi__036,4,0.526316
hi__036,5,0.500000
hi__036,6,0.526316
hi__037,0,0.333333
hi__037,1,0.500000
hi__037,2,0.903617
hi__038,0,0.500000
hi__038,1,0.333333
hi__038,2,0.500000
hi__038,3,0.526316
hi__039,0,0.526316
hi__040,0,0.333333
hi__040,1,0.000000
hi__040,2,0.526316
hi__041,0,0.526316
hi__041,1,0.526316
hi__042,0,0.000000
hi__042,1,0.526316
hi__043,0,0.500000
hi__043,1,0.526316
hi__044,0,0.333333
hi__044,1,0.333333
hi__045,0,0.500000
hi__045,1,0.526316
hi__046,0,0.333333
hi__046,1,0.000000
hi__046,2,0.526316
hi__047,0,0.526316
hi__048,0,0.526316
hi__049,0,0.526316
hi__050,0,0.526316
hi__051,0,0.333333
hi__051,1,0.750000
hi__051,2,0.880614
hi__052,0,0.526316
hi__053,0,0.000000
hi__053,1,0.000000
hi__053,2,0.526316
hi__054,0,0.333333
hi__054,1,0.750000
hi__055,0,0.000000
hi__055,1,0.526316
hi__056,0,0.526316
hi__057,0,0.000000
hi__057,1,0.526316
hi__058,0,0.500000
hi__058,1,0.526316
hi__059,0,0.000000
hi__059,1,0.333333
hi__059,2,0.526316
hi__060,0,0.500000
hi__060,1,0.526316
hi__061,0,0.333333
hi__061,1,0.526316
hi__062,0,0.526316
hi__063,0,0.000000
hi__063,1,0.333333
hi__063,2,0.500000
hi__063,3,0.578248
hi__064,0,0.511326
hi__064,1,0.500000
hi__064,2,0.526316
hi__064,3,0.526316
hi__064,4,0.826987
hi__065,0,0.500000
hi__066,0,0.000000
hi__066,1,0.500000
hi__066,2,0.526316
hi__067,0,0.526316
hi__068,0,0.750000
hi__069,0,0.526316
hi__069,1,0.526316
hi__069,2,0.333333
hi__069,3,0.526316
hi__069,4,0.500000
hi__069,5,0.526316
hi__070,0,0.526316
hi__070,1,0.526316
hi__071,0,0.000000
hi__071,1,0.000000
hi__071,2,0.526316
hi__072,0,0.526316
hi__072,1,0.526316
hi__073,0,0.000000
hi__073,1,0.526316
hi__073,2,0.526316
hi__073,3,0.526316
hi__073,4,0.526316
hi__073,5,0.526316
hi__074,0,0.500000
hi__074,1,0.500000
hi__075,0,0.000000
hi__075,1,0.526316
hi__076,0,0.526316
hi__077,0,0.045891
hi__077,1,0.333333
hi__077,2,0.526316
hi__078,0,0.526316
hi__078,1,0.526316
hi__078,2,0.526316
hi__078,3,1.000000
hi__079,0,0.000000
hi__079,1,0.333333
hi__079,2,0.867108
hi__080,0,0.000000
hi__080,1,0.526316
hi__081,0,0.333333
hi__081,1,0.526316
hi__081,2,0.526316
