turn_id,pause_index,label,p_eot,pred_at_0.5,verdict,pause_dur_s
hi__000,0,hold,0.107769,hold,TRUE,0.300
hi__000,1,hold,0.365590,hold,TRUE,0.700
hi__000,2,eot,0.801301,eot,TRUE,1.344
hi__001,0,hold,0.283703,hold,TRUE,0.500
hi__001,1,eot,0.652270,eot,TRUE,0.779
hi__002,0,eot,0.444898,hold,FALSE,0.435
hi__003,0,eot,0.624699,eot,TRUE,0.597
hi__004,0,eot,0.483335,hold,FALSE,0.338
hi__005,0,hold,0.240149,hold,TRUE,0.500
hi__005,1,eot,0.451793,hold,FALSE,1.762
hi__006,0,hold,0.155932,hold,TRUE,0.300
hi__006,1,hold,0.479003,hold,TRUE,0.300
hi__006,2,eot,0.660895,eot,TRUE,0.847
hi__007,0,hold,0.269983,hold,TRUE,0.300
hi__007,1,hold,0.195842,hold,TRUE,0.400
hi__007,2,hold,0.434482,hold,TRUE,0.600
hi__007,3,hold,0.283670,hold,TRUE,0.600
hi__007,4,hold,0.242320,hold,TRUE,0.200
hi__007,5,eot,0.592329,eot,TRUE,0.672
hi__008,0,eot,0.398272,hold,FALSE,1.146
hi__009,0,eot,0.807428,eot,TRUE,0.933
hi__010,0,hold,0.306878,hold,TRUE,0.200
hi__010,1,hold,0.119470,hold,TRUE,0.700
hi__010,2,hold,0.273534,hold,TRUE,0.600
hi__010,3,eot,0.592129,eot,TRUE,0.266
hi__011,0,hold,0.447430,hold,TRUE,0.500
hi__011,1,hold,0.278899,hold,TRUE,0.700
hi__011,2,eot,0.676074,eot,TRUE,1.143
hi__012,0,hold,0.229141,hold,TRUE,0.400
hi__012,1,hold,0.285998,hold,TRUE,0.200
hi__012,2,hold,0.353406,hold,TRUE,0.300
hi__012,3,hold,0.563872,eot,FALSE,0.100
hi__012,4,hold,0.370147,hold,TRUE,0.100
hi__012,5,eot,0.652208,eot,TRUE,2.371
hi__013,0,eot,0.841510,eot,TRUE,0.633
hi__014,0,hold,0.314579,hold,TRUE,0.400
hi__014,1,hold,0.208770,hold,TRUE,0.200
hi__014,2,hold,0.421677,hold,TRUE,0.100
hi__014,3,hold,0.196313,hold,TRUE,0.200
hi__014,4,hold,0.142391,hold,TRUE,0.700
hi__014,5,eot,0.501690,eot,TRUE,0.301
hi__015,0,eot,0.670303,eot,TRUE,1.310
hi__016,0,eot,0.663036,eot,TRUE,0.738
hi__017,0,hold,0.305271,hold,TRUE,0.400
hi__017,1,eot,0.716176,eot,TRUE,0.150
hi__018,0,hold,0.339688,hold,TRUE,0.100
hi__018,1,hold,0.233632,hold,TRUE,0.400
hi__018,2,eot,0.573237,eot,TRUE,1.139
hi__019,0,hold,0.157266,hold,TRUE,0.500
hi__019,1,hold,0.357716,hold,TRUE,0.300
hi__019,2,hold,0.229899,hold,TRUE,0.200
hi__019,3,hold,0.451557,hold,TRUE,0.300
hi__019,4,eot,0.717612,eot,TRUE,0.959
hi__020,0,hold,0.552992,eot,FALSE,0.200
hi__020,1,eot,0.552178,eot,TRUE,0.807
hi__021,0,eot,0.765460,eot,TRUE,0.833
hi__022,0,hold,0.196363,hold,TRUE,0.200
hi__022,1,hold,0.115276,hold,TRUE,0.500
hi__022,2,hold,0.199670,hold,TRUE,0.100
hi__022,3,hold,0.340091,hold,TRUE,0.400
hi__022,4,hold,0.310244,hold,TRUE,0.900
hi__022,5,hold,0.265136,hold,TRUE,0.500
hi__022,6,hold,0.331877,hold,TRUE,0.200
hi__022,7,eot,0.644142,eot,TRUE,1.354
hi__023,0,eot,0.848469,eot,TRUE,1.008
hi__024,0,eot,0.744043,eot,TRUE,0.209
hi__025,0,hold,0.188867,hold,TRUE,0.500
hi__025,1,hold,0.406550,hold,TRUE,0.300
hi__025,2,eot,0.691635,eot,TRUE,1.498
hi__026,0,eot,0.465248,hold,FALSE,1.420
hi__027,0,hold,0.178257,hold,TRUE,0.200
hi__027,1,eot,0.427481,hold,FALSE,0.890
hi__028,0,hold,0.232049,hold,TRUE,0.400
hi__028,1,eot,0.669031,eot,TRUE,1.425
hi__029,0,hold,0.217568,hold,TRUE,0.500
hi__029,1,hold,0.124276,hold,TRUE,0.100
hi__029,2,hold,0.144342,hold,TRUE,1.500
hi__029,3,eot,0.789350,eot,TRUE,1.737
hi__030,0,eot,0.843815,eot,TRUE,0.484
hi__031,0,hold,0.109682,hold,TRUE,0.500
hi__031,1,eot,0.613712,eot,TRUE,1.006
hi__032,0,hold,0.322462,hold,TRUE,0.300
hi__032,1,eot,0.749108,eot,TRUE,0.333
hi__033,0,hold,0.406666,hold,TRUE,0.400
hi__033,1,hold,0.342625,hold,TRUE,0.400
hi__033,2,eot,0.600839,eot,TRUE,1.130
hi__034,0,hold,0.336034,hold,TRUE,0.200
hi__034,1,hold,0.347600,hold,TRUE,0.500
hi__034,2,eot,0.781879,eot,TRUE,0.689
hi__035,0,eot,0.768711,eot,TRUE,0.170
hi__036,0,hold,0.370205,hold,TRUE,0.100
hi__036,1,hold,0.400479,hold,TRUE,0.600
hi__036,2,hold,0.420671,hold,TRUE,0.800
hi__036,3,hold,0.220386,hold,TRUE,0.400
hi__036,4,hold,0.344922,hold,TRUE,0.600
hi__036,5,hold,0.254287,hold,TRUE,0.800
hi__036,6,eot,0.784974,eot,TRUE,1.104
hi__037,0,hold,0.184247,hold,TRUE,0.200
hi__037,1,hold,0.115799,hold,TRUE,0.600
hi__037,2,eot,0.712395,eot,TRUE,0.560
hi__038,0,hold,0.160625,hold,TRUE,0.400
hi__038,1,hold,0.170072,hold,TRUE,0.100
hi__038,2,hold,0.478656,hold,TRUE,0.400
hi__038,3,eot,0.745632,eot,TRUE,1.792
hi__039,0,eot,0.667979,eot,TRUE,0.304
hi__040,0,hold,0.208505,hold,TRUE,0.400
hi__040,1,hold,0.147691,hold,TRUE,0.300
hi__040,2,eot,0.625843,eot,TRUE,1.682
hi__041,0,hold,0.506638,eot,FALSE,0.200
hi__041,1,eot,0.594221,eot,TRUE,1.429
hi__042,0,hold,0.349469,hold,TRUE,0.300
hi__042,1,eot,0.794741,eot,TRUE,0.700
hi__043,0,hold,0.358218,hold,TRUE,0.300
hi__043,1,eot,0.470479,hold,FALSE,1.379
hi__044,0,hold,0.475568,hold,TRUE,0.400
hi__044,1,eot,0.672730,eot,TRUE,1.032
hi__045,0,hold,0.247471,hold,TRUE,0.400
hi__045,1,eot,0.555557,eot,TRUE,0.435
hi__046,0,hold,0.314112,hold,TRUE,0.400
hi__046,1,hold,0.151462,hold,TRUE,0.800
hi__046,2,eot,0.451418,hold,FALSE,0.455
hi__047,0,eot,0.530063,eot,TRUE,1.090
hi__048,0,eot,0.596794,eot,TRUE,0.965
hi__049,0,eot,0.832439,eot,TRUE,1.705
hi__050,0,eot,0.650667,eot,TRUE,0.150
hi__051,0,hold,0.278191,hold,TRUE,0.100
hi__051,1,hold,0.200566,hold,TRUE,1.400
hi__051,2,eot,0.724470,eot,TRUE,0.957
hi__052,0,eot,0.605984,eot,TRUE,1.195
hi__053,0,hold,0.327759,hold,TRUE,0.300
hi__053,1,hold,0.215459,hold,TRUE,0.200
hi__053,2,eot,0.691457,eot,TRUE,0.887
hi__054,0,hold,0.445374,hold,TRUE,0.100
hi__054,1,eot,0.768500,eot,TRUE,1.257
hi__055,0,hold,0.183892,hold,TRUE,0.400
hi__055,1,eot,0.787147,eot,TRUE,1.219
hi__056,0,eot,0.633991,eot,TRUE,0.359
hi__057,0,hold,0.186580,hold,TRUE,0.700
hi__057,1,eot,0.877127,eot,TRUE,0.329
hi__058,0,hold,0.237438,hold,TRUE,0.500
hi__058,1,eot,0.781886,eot,TRUE,2.434
hi__059,0,hold,0.144606,hold,TRUE,0.200
hi__059,1,hold,0.135552,hold,TRUE,0.500
hi__059,2,eot,0.752162,eot,TRUE,0.894
hi__060,0,hold,0.610627,eot,FALSE,0.300
hi__060,1,eot,0.620701,eot,TRUE,1.351
hi__061,0,hold,0.230125,hold,TRUE,0.200
hi__061,1,eot,0.663948,eot,TRUE,1.534
hi__062,0,eot,0.839896,eot,TRUE,0.952
hi__063,0,hold,0.155966,hold,TRUE,0.500
hi__063,1,hold,0.453311,hold,TRUE,0.300
hi__063,2,hold,0.205329,hold,TRUE,0.200
hi__063,3,eot,0.795639,eot,TRUE,0.780
hi__064,0,hold,0.284642,hold,TRUE,0.300
hi__064,1,hold,0.195292,hold,TRUE,0.500
hi__064,2,hold,0.237418,hold,TRUE,0.500
hi__064,3,hold,0.345657,hold,TRUE,0.200
hi__064,4,eot,0.408302,hold,FALSE,1.010
hi__065,0,eot,0.746310,eot,TRUE,1.563
hi__066,0,hold,0.365212,hold,TRUE,0.400
hi__066,1,hold,0.335824,hold,TRUE,0.200
hi__066,2,eot,0.607656,eot,TRUE,0.587
hi__067,0,eot,0.530556,eot,TRUE,0.729
hi__068,0,eot,0.798421,eot,TRUE,0.618
hi__069,0,hold,0.216028,hold,TRUE,0.200
hi__069,1,hold,0.397348,hold,TRUE,0.100
hi__069,2,hold,0.141685,hold,TRUE,0.500
hi__069,3,hold,0.197599,hold,TRUE,0.100
hi__069,4,hold,0.123399,hold,TRUE,0.800
hi__069,5,eot,0.678198,eot,TRUE,0.417
hi__070,0,hold,0.272837,hold,TRUE,0.300
hi__070,1,eot,0.646513,eot,TRUE,0.939
hi__071,0,hold,0.292325,hold,TRUE,0.400
hi__071,1,hold,0.299488,hold,TRUE,0.300
hi__071,2,eot,0.439364,hold,FALSE,1.179
hi__072,0,hold,0.328584,hold,TRUE,0.200
hi__072,1,eot,0.747683,eot,TRUE,0.860
hi__073,0,hold,0.283577,hold,TRUE,0.400
hi__073,1,hold,0.220685,hold,TRUE,0.500
hi__073,2,hold,0.291542,hold,TRUE,0.500
hi__073,3,hold,0.570078,eot,FALSE,0.500
hi__073,4,hold,0.252914,hold,TRUE,0.100
hi__073,5,eot,0.740862,eot,TRUE,0.498
hi__074,0,hold,0.616084,eot,FALSE,0.400
hi__074,1,eot,0.703762,eot,TRUE,0.473
hi__075,0,hold,0.141617,hold,TRUE,0.800
hi__075,1,eot,0.799675,eot,TRUE,1.947
hi__076,0,eot,0.863349,eot,TRUE,1.424
hi__077,0,hold,0.368085,hold,TRUE,0.200
hi__077,1,hold,0.256836,hold,TRUE,0.400
hi__077,2,eot,0.856752,eot,TRUE,0.890
hi__078,0,hold,0.319045,hold,TRUE,0.300
hi__078,1,hold,0.155175,hold,TRUE,0.600
hi__078,2,hold,0.283138,hold,TRUE,0.200
hi__078,3,eot,0.564977,eot,TRUE,0.395
hi__079,0,hold,0.139824,hold,TRUE,0.400
hi__079,1,hold,0.139922,hold,TRUE,0.600
hi__079,2,eot,0.863581,eot,TRUE,1.302
hi__080,0,hold,0.230765,hold,TRUE,0.200
hi__080,1,eot,0.522143,eot,TRUE,0.508
hi__081,0,hold,0.371309,hold,TRUE,0.300
hi__081,1,hold,0.515776,eot,FALSE,0.400
hi__081,2,eot,0.759251,eot,TRUE,0.904
hi__082,0,eot,0.582626,eot,TRUE,1.230
hi__083,0,eot,0.501047,eot,TRUE,0.671
hi__084,0,eot,0.833788,eot,TRUE,1.802
hi__085,0,hold,0.368396,hold,TRUE,0.400
hi__085,1,hold,0.305345,hold,TRUE,0.500
hi__085,2,eot,0.716617,eot,TRUE,0.150
hi__086,0,hold,0.380811,hold,TRUE,0.100
hi__086,1,eot,0.577699,eot,TRUE,1.267
hi__087,0,hold,0.201500,hold,TRUE,0.900
hi__087,1,hold,0.259849,hold,TRUE,0.300
hi__087,2,eot,0.810615,eot,TRUE,0.686
hi__088,0,hold,0.216867,hold,TRUE,0.400
hi__088,1,hold,0.322177,hold,TRUE,0.200
hi__088,2,eot,0.718244,eot,TRUE,1.011
hi__089,0,hold,0.388925,hold,TRUE,0.600
hi__089,1,hold,0.243478,hold,TRUE,0.500
hi__089,2,eot,0.573690,eot,TRUE,1.813
hi__090,0,hold,0.275567,hold,TRUE,0.100
hi__090,1,hold,0.169102,hold,TRUE,0.200
hi__090,2,hold,0.407302,hold,TRUE,0.600
hi__090,3,eot,0.485371,hold,FALSE,0.980
hi__091,0,eot,0.801971,eot,TRUE,0.215
hi__092,0,eot,0.871498,eot,TRUE,0.530
hi__093,0,eot,0.764086,eot,TRUE,0.242
hi__094,0,hold,0.421302,hold,TRUE,0.200
hi__094,1,hold,0.230782,hold,TRUE,0.200
hi__094,2,hold,0.259563,hold,TRUE,0.400
hi__094,3,hold,0.435896,hold,TRUE,0.200
hi__094,4,hold,0.240406,hold,TRUE,0.100
hi__094,5,eot,0.747318,eot,TRUE,1.377
hi__095,0,hold,0.583070,eot,FALSE,0.200
hi__095,1,eot,0.828190,eot,TRUE,0.520
hi__096,0,hold,0.181304,hold,TRUE,0.300
hi__096,1,hold,0.371740,hold,TRUE,0.300
hi__096,2,hold,0.198963,hold,TRUE,0.500
hi__096,3,eot,0.760750,eot,TRUE,0.315
hi__097,0,hold,0.268380,hold,TRUE,0.200
hi__097,1,hold,0.585606,eot,FALSE,0.400
hi__097,2,hold,0.154981,hold,TRUE,0.200
hi__097,3,hold,0.509084,eot,FALSE,0.100
hi__097,4,hold,0.120938,hold,TRUE,1.000
hi__097,5,eot,0.511850,eot,TRUE,0.473
hi__098,0,eot,0.571786,eot,TRUE,1.020
hi__099,0,hold,0.239890,hold,TRUE,0.400
hi__099,1,eot,0.602674,eot,TRUE,1.465
