turn_id,pause_index,label,audio_file,pause_start,pause_end,pause_index,pause_start,ipi,log_pause_start,log_ipi,is_first_pause,is_late_pause,lang_id,energy_mean_local,energy_final,energy_decay_slope,energy_decay_drop,energy_slope_short,pre_pause_rms_db,rms_ratio_50_200,energy_vs_turn_med,f0_mean_turn,f0_median_turn,f0_final,f0_std_local,f0_slope_last_voiced,f0_slope_terminal,rel_final_pitch_med,rel_final_pitch_mean,fall_flag,rise_flag,fall_score,rise_score,final_voiced_dur,mean_voiced_run_dur,final_lengthening,final_lengthening_med,speaking_rate,voiced_frac_turn,voiced_frac_local,n_voiced_runs,trailing_unvoiced_s,spec_centroid,spec_bandwidth,spec_flatness,spec_low_high,zcr
hi__000,0.0,hold,audio/hi__000.wav,6.099999904632568,6.4,0.0,6.099999904632568,6.099999904632568,1.9600948095321655,1.9600948095321655,1.0,0.0,1.0,-33.21784591674805,-56.10713577270508,-0.6204280853271484,9.03986930847168,-3.515578508377075,-58.46542739868164,-33.99567413330078,-30.881656646728516,234.7460174560547,233.58908081054688,288.3462219238281,51.29218673706055,0.9231394529342651,2.2368392944335938,1.2344164848327637,1.228332757949829,0.0,1.0,-12.643965721130371,12.643965721130371,0.5799999833106995,0.24526315927505493,2.364806890487671,2.4166667461395264,3.278688430786133,0.8632619380950928,0.8999999761581421,20.0,0.0,1223.5306396484375,1357.5643310546875,0.13937148451805115,0.550291121006012,0.07526041567325592
hi__000,1.0,hold,audio/hi__000.wav,8.699999809265137,9.4,1.0,8.699999809265137,2.299999952316284,2.2721259593963623,1.193922519683838,0.0,0.0,1.0,-33.040428161621094,-68.99713134765625,-1.1761229038238525,23.320430755615234,-0.2055121511220932,-72.19485473632812,-36.162418365478516,-43.78602600097656,232.1949462890625,231.88406372070312,189.46884155273438,36.99946212768555,0.0,-3.065537452697754,0.8170843720436096,0.8159903883934021,0.0,0.0,9.145782470703125,0.0,0.019999999552965164,0.24433332681655884,0.08185538649559021,0.10000000149011612,3.563218355178833,0.8477508425712585,0.9333333373069763,31.0,0.0,1575.984619140625,1607.1702880859375,0.2726621925830841,0.21885672211647034,0.12526041269302368
hi__000,2.0,eot,audio/hi__000.wav,15.699999809265137,17.044,2.0,15.699999809265137,6.300000190734863,2.815408706665039,1.9878743886947632,0.0,1.0,1.0,-34.39882278442383,-54.6541862487793,-0.6314882040023804,10.87613296508789,-2.504136085510254,-61.10909652709961,-29.680110931396484,-28.400388717651367,221.90367126464844,216.21621704101562,192.77108764648438,21.86516761779785,-0.29190489649772644,0.6287651062011719,0.891566276550293,0.8687151670455933,1.0,0.0,5.7135910987854,-0.29190489649772644,0.4699999988079071,0.21771930158138275,2.158742904663086,2.7647058963775635,3.694267511367798,0.821952760219574,0.9066666960716248,58.0,0.029999999329447746,823.0887451171875,1306.2557373046875,0.10871101915836334,0.6997019052505493,0.0625
hi__001,0.0,hold,audio/hi__001.wav,6.699999809265137,7.2,0.0,6.699999809265137,6.699999809265137,2.0412204265594482,2.0412204265594482,1.0,0.0,1.0,-37.691612243652344,-87.5632553100586,-1.4425837993621826,28.457136154174805,-3.916315793991089,-86.912353515625,-47.29269790649414,-59.57211685180664,258.87127685546875,250.0,247.723876953125,46.60323715209961,0.0,1.9176839590072632,0.9908955097198486,0.9569384455680847,0.0,0.0,0.4552246034145355,0.0,0.019999999552965164,0.359333336353302,0.055658627301454544,0.0833333358168602,2.388059616088867,0.8110944628715515,0.9133333563804626,16.0,0.029999999329447746,2521.27685546875,1864.486083984375,0.49576905369758606,-0.18364500999450684,0.20677083730697632
hi__001,1.0,eot,audio/hi__001.wav,12.0,12.779,1.0,12.0,4.800000190734863,2.5649492740631104,1.7578579187393188,0.0,0.0,1.0,-33.64321517944336,-71.04134368896484,-0.9290691018104553,15.670894622802734,-4.558460235595703,-73.59971618652344,-46.998043060302734,-43.59083557128906,242.26980590820312,231.88406372070312,204.8255157470703,22.30988883972168,0.20246504247188568,1.4131338596343994,0.8833100199699402,0.845443844795227,0.0,0.0,5.6320343017578125,0.20246504247188568,0.38999998569488525,0.25078946352005005,1.5550892353057861,2.7857143878936768,3.25,0.8287385106086731,0.8999999761581421,39.0,0.0,1152.3922119140625,1306.24267578125,0.16985417902469635,0.4931440055370331,0.09166666865348816
hi__002,0.0,eot,audio/hi__002.wav,3.299999952316284,3.735,0.0,3.299999952316284,3.299999952316284,1.4586150646209717,1.4586150646209717,1.0,0.0,1.0,-35.36204147338867,-81.06939697265625,-1.6324950456619263,35.1507453918457,-2.417267322540283,-81.88457489013672,-36.419189453125,38.93059539794922,183.91799926757812,170.2127685546875,381.7201843261719,58.64956283569336,16.124034881591797,21.93907928466797,2.2426061630249023,2.075491189956665,0.0,1.0,-41.1240348815918,78.25434112548828,0.03999999910593033,0.3199999928474426,0.125,0.27586206793785095,1.5151515007019043,0.40366971492767334,0.8533333539962769,5.0,0.0,1631.4649658203125,1969.03662109375,0.41323593258857727,0.3590506911277771,0.09765625
hi__003,0.0,eot,audio/hi__003.wav,4.0,4.597,0.0,4.0,4.0,1.6094379425048828,1.6094379425048828,1.0,0.0,1.0,-34.06477355957031,-73.5709457397461,-0.7208736538887024,13.959949493408203,-4.152649879455566,-74.5594482421875,-42.22905731201172,-47.36220169067383,141.0753631591797,140.3508758544922,133.80862426757812,13.2558012008667,0.0,-3.5937259197235107,0.9533864855766296,0.9484903812408447,0.0,0.0,2.330677032470703,0.0,0.009999999776482582,0.1617647111415863,0.06181818246841431,0.3333333432674408,4.5,0.6952140927314758,0.8399999737739563,18.0,0.019999999552965164,1908.7088623046875,2165.404541015625,0.4069952070713043,0.1915082335472107,0.12656250596046448
hi__004,0.0,eot,audio/hi__004.wav,9.899999618530273,10.238,0.0,9.899999618530273,9.899999618530273,2.3887627124786377,2.3887627124786377,1.0,0.0,1.0,-37.899986267089844,-68.03900909423828,-0.6679609417915344,26.63848114013672,1.229736328125,-70.37541198730469,-15.930279731750488,-36.64775848388672,132.11077880859375,106.31346130371094,254.6173858642578,88.66203308105469,24.403636932373047,-3.513916254043579,2.3949685096740723,1.9273021221160889,0.0,1.0,-49.40363693237305,94.15206146240234,0.05999999865889549,0.1677272766828537,0.35772356390953064,1.5,4.545454502105713,0.7537993788719177,0.7400000095367432,45.0,0.009999999776482582,2493.166748046875,1410.740478515625,0.2628472149372101,-0.22541043162345886,0.2278645783662796
hi__005,0.0,hold,audio/hi__005.wav,5.0,5.5,0.0,5.0,5.0,1.7917594909667969,1.7917594909667969,1.0,0.0,1.0,-40.15351486206055,-89.67212677001953,-2.003114700317383,38.94800567626953,-3.687173843383789,-90.26654052734375,-56.74755096435547,-62.48113250732422,155.70716857910156,148.1481475830078,245.3264617919922,57.14170837402344,0.0,5.103209495544434,1.6559536457061768,1.5755630731582642,0.0,0.0,-25.0,32.79767990112305,0.019999999552965164,0.3889999985694885,0.0514138825237751,0.06779661029577255,2.200000047683716,0.786720335483551,0.753333330154419,11.0,0.05999999865889549,2364.439697265625,2424.858154296875,0.6038787364959717,0.09321658313274384,0.05104166641831398
hi__005,1.0,eot,audio/hi__005.wav,7.5,9.262,1.0,7.5,2.0,2.140066146850586,1.0986123085021973,0.0,0.0,1.0,-37.104705810546875,-80.4350814819336,-0.5714572072029114,7.900581359863281,-3.524759292602539,-83.97954559326172,-38.29798889160156,-51.54623794555664,160.9832000732422,150.94338989257812,246.3022918701172,49.13227462768555,0.0,20.49513053894043,1.6317527294158936,1.5299875736236572,0.0,0.0,-25.0,31.587636947631836,0.019999999552965164,0.2514285743236542,0.07954545319080353,0.13333334028720856,2.933333396911621,0.7095046639442444,0.6399999856948853,22.0,0.0,2359.921142578125,1953.48291015625,0.5461152195930481,-0.06932072341442108,0.15625
