turn_id,pause_index,p_eot
en__000,0,0.395909
en__000,1,0.226408
en__000,2,0.214164
en__000,3,0.423758
en__001,0,0.209062
en__001,1,0.381475
en__002,0,0.343421
en__002,1,0.551595
en__002,2,0.636968
en__002,3,0.609401
en__002,4,0.668708
en__002,5,0.604573
en__002,6,0.593890
en__003,0,0.347540
en__004,0,0.322819
en__004,1,0.517206
en__005,0,0.366204
en__005,1,0.604817
en__006,0,0.219975
en__006,1,0.582663
en__006,2,0.701993
en__007,0,0.171626
en__007,1,0.558005
en__007,2,0.411608
en__007,3,0.224636
en__007,4,0.416030
en__007,5,0.466705
en__007,6,0.295332
en__008,0,0.271515
en__008,1,0.668890
en__008,2,0.512220
en__008,3,0.780906
en__009,0,0.286183
en__010,0,0.327251
en__010,1,0.444143
en__011,0,0.504169
en__012,0,0.306637
en__012,1,0.185158
en__012,2,0.224398
en__013,0,0.504570
en__014,0,0.254275
en__014,1,0.735666
en__015,0,0.142302
en__015,1,0.420460
en__016,0,0.419257
en__016,1,0.677729
en__016,2,0.634999
en__017,0,0.355621
en__017,1,0.810817
en__018,0,0.423131
en__018,1,0.232632
en__018,2,0.489275
en__018,3,0.485825
en__018,4,0.370098
en__018,5,0.632593
en__019,0,0.337948
en__020,0,0.142683
en__020,1,0.348375
en__020,2,0.754145
en__021,0,0.401085
en__022,0,0.488259
en__022,1,0.781905
en__023,0,0.268075
en__023,1,0.342271
en__023,2,0.634466
en__024,0,0.294557
en__024,1,0.544474
en__024,2,0.733999
en__025,0,0.547809
en__026,0,0.700224
en__027,0,0.564662
en__027,1,0.755811
en__028,0,0.590844
en__028,1,0.702844
en__029,0,0.342437
en__029,1,0.214527
en__029,2,0.830433
en__030,0,0.479281
en__030,1,0.322494
en__030,2,0.417189
en__030,3,0.545762
en__030,4,0.778736
en__031,0,0.511504
en__032,0,0.266742
en__032,1,0.600406
en__033,0,0.546110
en__034,0,0.357707
en__034,1,0.752497
en__035,0,0.506621
en__035,1,0.599797
en__035,2,0.563284
en__036,0,0.389814
en__036,1,0.438014
en__036,2,0.283376
en__037,0,0.270849
en__037,1,0.521495
en__037,2,0.490292
en__037,3,0.632788
en__038,0,0.198761
en__038,1,0.265097
en__038,2,0.439126
en__038,3,0.402720
en__039,0,0.219890
en__039,1,0.291749
en__039,2,0.437867
en__040,0,0.499149
en__041,0,0.515688
en__042,0,0.205162
en__042,1,0.198302
en__042,2,0.367828
en__042,3,0.246013
en__042,4,0.641367
en__043,0,0.660652
en__044,0,0.202567
en__044,1,0.616983
en__044,2,0.794656
en__045,0,0.111246
en__045,1,0.660468
en__046,0,0.223958
en__046,1,0.384910
en__046,2,0.608160
en__047,0,0.504775
en__048,0,0.218407
en__048,1,0.814582
en__049,0,0.272240
en__049,1,0.492267
en__049,2,0.457147
en__049,3,0.716045
en__049,4,0.778312
en__050,0,0.544699
en__051,0,0.293026
en__051,1,0.611487
en__051,2,0.681865
en__052,0,0.199892
en__052,1,0.461952
en__052,2,0.583530
en__053,0,0.541068
en__053,1,0.626604
en__054,0,0.405688
en__054,1,0.758419
en__055,0,0.491667
en__056,0,0.754888
en__057,0,0.598794
en__058,0,0.683824
en__059,0,0.309224
en__059,1,0.414533
en__059,2,0.649550
en__060,0,0.380697
en__060,1,0.574676
en__061,0,0.504457
en__061,1,0.509762
en__061,2,0.745025
en__062,0,0.750943
en__063,0,0.476312
en__063,1,0.633437
en__064,0,0.408150
en__064,1,0.818258
en__065,0,0.433584
en__065,1,0.309580
en__065,2,0.781503
en__066,0,0.652922
en__066,1,0.512211
en__067,0,0.427225
en__067,1,0.409114
en__067,2,0.628811
en__068,0,0.263569
en__068,1,0.218002
en__068,2,0.669268
en__069,0,0.169540
en__069,1,0.434222
en__070,0,0.199110
en__070,1,0.216579
en__070,2,0.272912
en__070,3,0.326198
en__070,4,0.506481
en__070,5,0.421181
en__070,6,0.547271
en__071,0,0.631846
en__072,0,0.396679
en__073,0,0.439254
en__073,1,0.459175
en__074,0,0.789743
en__075,0,0.714484
en__076,0,0.772946
en__077,0,0.275471
en__077,1,0.393052
en__077,2,0.363095
en__078,0,0.250839
en__079,0,0.606610
en__079,1,0.648894
en__080,0,0.248462
en__080,1,0.142688
en__080,2,0.222554
en__080,3,0.511232
en__080,4,0.298371
en__080,5,0.692662
en__081,0,0.198732
en__081,1,0.327460
en__081,2,0.414706
en__081,3,0.322685
en__081,4,0.783964
en__082,0,0.514308
en__082,1,0.731258
en__083,0,0.474386
en__083,1,0.462822
en__083,2,0.757139
en__084,0,0.654596
en__085,0,0.370647
en__086,0,0.533606
en__086,1,0.191792
en__086,2,0.534917
en__087,0,0.281129
en__088,0,0.258094
en__088,1,0.785210
en__089,0,0.334035
en__089,1,0.301060
en__090,0,0.390562
en__090,1,0.584719
en__090,2,0.700122
en__090,3,0.780121
en__091,0,0.731759
en__091,1,0.632206
en__091,2,0.257312
en__091,3,0.490503
en__091,4,0.424274
en__091,5,0.596372
en__091,6,0.726419
en__091,7,0.864791
en__092,0,0.463725
en__092,1,0.620309
en__093,0,0.354718
en__093,1,0.330021
en__093,2,0.501501
en__093,3,0.515049
en__093,4,0.562404
en__094,0,0.246702
en__094,1,0.613579
en__095,0,0.251845
en__095,1,0.306306
en__095,2,0.361106
en__095,3,0.304331
en__095,4,0.706731
en__095,5,0.381682
en__096,0,0.598049
en__097,0,0.182514
en__097,1,0.368131
en__098,0,0.565759
en__099,0,0.579542
