turn_id,pause_index,p_eot
hi__000,0,0.306618
hi__000,1,0.316796
hi__000,2,0.573818
hi__001,0,0.390440
hi__001,1,0.387253
hi__002,0,0.631325
hi__003,0,0.563799
hi__004,0,0.440642
hi__005,0,0.179514
hi__005,1,0.652172
hi__006,0,0.297017
hi__006,1,0.575660
hi__006,2,0.430687
hi__007,0,0.295373
hi__007,1,0.377411
hi__007,2,0.671883
hi__007,3,0.593017
hi__007,4,0.432434
hi__007,5,0.771999
hi__008,0,0.349535
hi__009,0,0.581511
hi__010,0,0.181764
hi__010,1,0.227053
hi__010,2,0.587085
hi__010,3,0.866191
hi__011,0,0.195854
hi__011,1,0.494784
hi__011,2,0.409457
hi__012,0,0.268958
hi__012,1,0.357644
hi__012,2,0.545530
hi__012,3,0.586246
hi__012,4,0.688909
hi__012,5,0.625287
hi__013,0,0.660862
hi__014,0,0.367369
hi__014,1,0.434715
hi__014,2,0.452632
hi__014,3,0.563204
hi__014,4,0.579084
hi__014,5,0.629592
hi__015,0,0.485330
hi__016,0,0.491805
hi__017,0,0.414760
hi__017,1,0.575143
hi__018,0,0.392311
hi__018,1,0.477888
hi__018,2,0.569053
hi__019,0,0.177491
hi__019,1,0.280469
hi__019,2,0.609043
hi__019,3,0.513975
hi__019,4,0.536713
hi__020,0,0.516290
hi__020,1,0.613271
hi__021,0,0.692400
hi__022,0,0.173243
hi__022,1,0.230811
hi__022,2,0.322633
hi__022,3,0.468635
hi__022,4,0.233213
hi__022,5,0.361617
hi__022,6,0.496123
hi__022,7,0.643562
hi__023,0,0.723524
hi__024,0,0.550566
hi__025,0,0.291340
hi__025,1,0.373950
hi__025,2,0.528059
hi__026,0,0.706205
hi__027,0,0.264889
hi__027,1,0.526063
hi__028,0,0.281492
hi__028,1,0.497736
hi__029,0,0.215987
hi__029,1,0.322057
hi__029,2,0.557158
hi__029,3,0.691609
hi__030,0,0.731083
hi__031,0,0.146039
hi__031,1,0.404319
hi__032,0,0.333309
hi__032,1,0.413464
hi__033,0,0.549279
hi__033,1,0.458099
hi__033,2,0.499977
hi__034,0,0.392305
hi__034,1,0.440512
hi__034,2,0.649882
hi__035,0,0.810144
hi__036,0,0.334265
hi__036,1,0.429316
hi__036,2,0.454565
hi__036,3,0.420526
hi__036,4,0.512876
hi__036,5,0.591746
hi__036,6,0.664416
hi__037,0,0.298880
hi__037,1,0.448728
hi__037,2,0.748829
hi__038,0,0.332930
hi__038,1,0.301742
hi__038,2,0.282542
hi__038,3,0.639649
hi__039,0,0.497397
hi__040,0,0.320527
hi__040,1,0.361882
hi__040,2,0.407765
hi__041,0,0.289809
hi__041,1,0.631877
hi__042,0,0.402432
hi__042,1,0.569327
hi__043,0,0.281304
hi__043,1,0.459270
hi__044,0,0.290220
hi__044,1,0.345597
hi__045,0,0.327024
hi__045,1,0.639114
hi__046,0,0.446183
hi__046,1,0.347469
hi__046,2,0.543269
hi__047,0,0.492740
hi__048,0,0.473164
hi__049,0,0.622564
hi__050,0,0.521034
hi__051,0,0.305454
hi__051,1,0.615073
hi__051,2,0.782027
hi__052,0,0.568276
hi__053,0,0.161952
hi__053,1,0.328216
hi__053,2,0.374321
hi__054,0,0.462730
hi__054,1,0.713198
hi__055,0,0.267286
hi__055,1,0.666889
hi__056,0,0.397880
hi__057,0,0.224391
hi__057,1,0.768366
hi__058,0,0.386408
hi__058,1,0.597969
hi__059,0,0.376388
hi__059,1,0.284447
hi__059,2,0.575636
hi__060,0,0.488339
hi__060,1,0.553552
hi__061,0,0.328880
hi__061,1,0.613109
hi__062,0,0.539992
hi__063,0,0.198407
hi__063,1,0.346052
hi__063,2,0.496901
hi__063,3,0.852262
hi__064,0,0.263076
hi__064,1,0.277595
hi__064,2,0.478332
hi__064,3,0.529318
hi__064,4,0.809074
hi__065,0,0.566105
hi__066,0,0.214799
hi__066,1,0.495623
hi__066,2,0.698388
hi__067,0,0.503647
hi__068,0,0.782257
hi__069,0,0.540497
hi__069,1,0.430414
hi__069,2,0.310627
hi__069,3,0.655632
hi__069,4,0.393668
hi__069,5,0.612434
hi__070,0,0.428819
hi__070,1,0.455203
hi__071,0,0.376625
hi__071,1,0.455383
hi__071,2,0.490175
hi__072,0,0.495311
hi__072,1,0.704470
hi__073,0,0.239617
hi__073,1,0.460635
hi__073,2,0.357840
hi__073,3,0.502466
hi__073,4,0.528318
hi__073,5,0.578992
hi__074,0,0.388332
hi__074,1,0.502243
hi__075,0,0.233155
hi__075,1,0.745866
hi__076,0,0.593124
hi__077,0,0.297598
hi__077,1,0.298230
hi__077,2,0.581212
hi__078,0,0.289151
hi__078,1,0.413284
hi__078,2,0.458754
hi__078,3,0.849001
hi__079,0,0.249604
hi__079,1,0.356582
hi__079,2,0.864791
hi__080,0,0.120930
hi__080,1,0.563099
hi__081,0,0.308535
hi__081,1,0.614920
hi__081,2,0.672352
hi__082,0,0.560110
hi__083,0,0.563626
hi__084,0,0.622302
hi__085,0,0.557487
hi__085,1,0.515104
hi__085,2,0.698944
hi__086,0,0.487596
hi__086,1,0.725446
hi__087,0,0.435842
hi__087,1,0.440330
hi__087,2,0.771380
hi__088,0,0.334668
hi__088,1,0.367474
hi__088,2,0.725284
hi__089,0,0.386650
hi__089,1,0.349520
hi__089,2,0.542987
hi__090,0,0.415175
hi__090,1,0.474885
hi__090,2,0.523084
hi__090,3,0.532403
hi__091,0,0.739947
hi__092,0,0.554981
hi__093,0,0.420017
hi__094,0,0.287635
hi__094,1,0.419549
hi__094,2,0.717439
hi__094,3,0.606150
hi__094,4,0.426089
hi__094,5,0.640043
hi__095,0,0.424359
hi__095,1,0.686253
hi__096,0,0.343335
hi__096,1,0.449631
hi__096,2,0.446150
hi__096,3,0.506444
hi__097,0,0.339163
hi__097,1,0.444011
hi__097,2,0.380695
hi__097,3,0.572473
hi__097,4,0.485071
hi__097,5,0.455404
hi__098,0,0.312327
hi__099,0,0.410818
hi__099,1,0.552729
