turn_id,pause_index,p_eot
en__000,0,0.291576
en__000,1,0.316461
en__000,2,0.335394
en__000,3,0.687726
en__001,0,0.438489
en__001,1,0.795949
en__004,0,0.165436
en__004,1,0.635847
en__005,0,0.174456
en__005,1,0.617746
en__009,0,0.381314
en__010,0,0.470650
en__010,1,0.551913
en__011,0,0.691415
en__012,0,0.391841
en__012,1,0.289971
en__012,2,0.363093
en__014,0,0.264805
en__014,1,0.833849
en__015,0,0.190156
en__015,1,0.344084
en__017,0,0.383954
en__017,1,0.732709
en__019,0,0.315192
en__020,0,0.234411
en__020,1,0.333853
en__020,2,0.861099
en__021,0,0.565145
en__023,0,0.214768
en__023,1,0.369887
en__023,2,0.540833
en__025,0,0.571436
en__028,0,0.583511
en__028,1,0.720734
en__029,0,0.384455
en__029,1,0.261715
en__029,2,0.631267
en__031,0,0.566309
en__032,0,0.296623
en__032,1,0.427433
en__034,0,0.498533
en__034,1,0.664997
en__035,0,0.598853
en__035,1,0.489239
en__035,2,0.764425
en__036,0,0.165342
en__036,1,0.548189
en__036,2,0.472612
en__037,0,0.406382
en__037,1,0.478794
en__037,2,0.475954
en__037,3,0.846735
en__038,0,0.273948
en__038,1,0.145919
en__038,2,0.413983
en__038,3,0.586502
en__039,0,0.227647
en__039,1,0.154431
en__039,2,0.560216
en__040,0,0.467408
en__041,0,0.688316
en__042,0,0.109883
en__042,1,0.183829
en__042,2,0.447041
en__042,3,0.386469
en__042,4,0.886528
en__044,0,0.070307
en__044,1,0.643679
en__044,2,0.826641
en__046,0,0.253567
en__046,1,0.339317
en__046,2,0.763739
en__047,0,0.623265
en__049,0,0.282725
en__049,1,0.361003
en__049,2,0.627866
en__049,3,0.823358
en__049,4,0.650323
en__050,0,0.238035
en__052,0,0.386289
en__052,1,0.557301
en__052,2,0.801124
en__057,0,0.756831
en__058,0,0.695882
en__059,0,0.207739
en__059,1,0.407678
en__059,2,0.819455
en__061,0,0.624072
en__061,1,0.482723
en__061,2,0.770740
en__064,0,0.479573
en__064,1,0.838242
en__065,0,0.183775
en__065,1,0.250039
en__065,2,0.707417
en__066,0,0.602784
en__066,1,0.565321
en__067,0,0.339533
en__067,1,0.538042
en__067,2,0.807402
en__069,0,0.532214
en__069,1,0.786409
en__070,0,0.126939
en__070,1,0.241776
en__070,2,0.296264
en__070,3,0.351257
en__070,4,0.521076
en__070,5,0.244205
en__070,6,0.721544
en__072,0,0.490769
en__077,0,0.221304
en__077,1,0.341819
en__077,2,0.536140
en__079,0,0.533803
en__079,1,0.757940
en__081,0,0.127554
en__081,1,0.251604
en__081,2,0.373931
en__081,3,0.234603
en__081,4,0.756795
en__083,0,0.231500
en__083,1,0.237579
en__083,2,0.669968
en__084,0,0.692549
en__085,0,0.528534
en__087,0,0.340614
en__088,0,0.207983
en__088,1,0.827863
en__089,0,0.212020
en__089,1,0.371149
en__091,0,0.566026
en__091,1,0.608703
en__091,2,0.415119
en__091,3,0.367009
en__091,4,0.512810
en__091,5,0.621126
en__091,6,0.542072
en__091,7,0.651385
en__094,0,0.481784
en__094,1,0.519044
en__096,0,0.453659
en__097,0,0.232775
en__097,1,0.381242
en__098,0,0.605703
hi__000,0,0.226128
hi__000,1,0.392007
hi__000,2,0.817607
hi__001,0,0.304342
hi__001,1,0.490924
hi__004,0,0.576898
hi__005,0,0.098304
hi__005,1,0.811923
hi__009,0,0.447010
hi__010,0,0.149181
hi__010,1,0.143438
hi__010,2,0.488874
hi__010,3,0.845034
hi__011,0,0.215585
hi__011,1,0.137024
hi__011,2,0.517103
