turn_id,pause_index,p_eot
en__000,0,0.153620
en__000,1,0.222748
en__000,2,0.329271
en__000,3,0.589937
en__001,0,0.451959
en__001,1,0.618925
en__002,0,0.310986
en__002,1,0.514449
en__002,2,0.591393
en__002,3,0.665450
en__002,4,0.485794
en__002,5,0.708029
en__002,6,0.670857
en__003,0,0.256734
en__004,0,0.195618
en__004,1,0.627304
en__005,0,0.268442
en__005,1,0.593305
en__006,0,0.246357
en__006,1,0.605920
en__006,2,0.751448
en__007,0,0.179327
en__007,1,0.227125
en__007,2,0.290314
en__007,3,0.224889
en__007,4,0.535075
en__007,5,0.555500
en__007,6,0.514727
en__008,0,0.465580
en__008,1,0.491780
en__008,2,0.394107
en__008,3,0.792019
en__009,0,0.389707
en__010,0,0.484850
en__010,1,0.453429
en__011,0,0.676891
en__012,0,0.232655
en__012,1,0.178400
en__012,2,0.316834
en__013,0,0.443491
en__014,0,0.235103
en__014,1,0.779650
en__015,0,0.178084
en__015,1,0.311532
en__016,0,0.262803
en__016,1,0.456728
en__016,2,0.496840
en__017,0,0.352358
en__017,1,0.668677
en__018,0,0.314529
en__018,1,0.194795
en__018,2,0.357314
en__018,3,0.438446
en__018,4,0.284603
en__018,5,0.585244
en__019,0,0.379316
en__020,0,0.182729
en__020,1,0.385803
en__020,2,0.806206
en__021,0,0.567213
en__022,0,0.433596
en__022,1,0.634607
en__023,0,0.283715
en__023,1,0.410502
en__023,2,0.449551
en__024,0,0.390201
en__024,1,0.578172
en__024,2,0.629293
en__025,0,0.359715
en__026,0,0.594173
en__027,0,0.651700
en__027,1,0.848917
en__028,0,0.579393
en__028,1,0.652388
en__029,0,0.466769
en__029,1,0.259682
en__029,2,0.742241
en__030,0,0.385048
en__030,1,0.651930
en__030,2,0.384488
en__030,3,0.566765
en__030,4,0.832287
en__031,0,0.488973
en__032,0,0.359757
en__032,1,0.411386
en__033,0,0.583733
en__034,0,0.378515
en__034,1,0.627946
en__035,0,0.656181
en__035,1,0.401406
en__035,2,0.646771
en__036,0,0.238002
en__036,1,0.662856
en__036,2,0.443993
en__037,0,0.324057
en__037,1,0.303701
en__037,2,0.419987
en__037,3,0.749574
en__038,0,0.294845
en__038,1,0.237313
en__038,2,0.389574
en__038,3,0.506438
en__039,0,0.257038
en__039,1,0.215492
en__039,2,0.439860
en__040,0,0.444048
en__041,0,0.643580
en__042,0,0.143050
en__042,1,0.206614
en__042,2,0.411545
en__042,3,0.334840
en__042,4,0.830391
en__043,0,0.790211
en__044,0,0.167965
en__044,1,0.547580
en__044,2,0.715792
en__045,0,0.145120
en__045,1,0.480840
en__046,0,0.244359
en__046,1,0.496724
en__046,2,0.752178
en__047,0,0.479577
en__048,0,0.102964
en__048,1,0.868714
en__049,0,0.260421
en__049,1,0.415424
en__049,2,0.574546
en__049,3,0.728369
en__049,4,0.560067
en__050,0,0.217347
en__051,0,0.361284
en__051,1,0.513427
en__051,2,0.716469
en__052,0,0.331117
en__052,1,0.552820
en__052,2,0.748246
en__053,0,0.521148
en__053,1,0.626397
en__054,0,0.496344
en__054,1,0.652770
en__055,0,0.419634
en__056,0,0.768057
en__057,0,0.770087
en__058,0,0.652481
en__059,0,0.332578
en__059,1,0.405848
en__059,2,0.722814
en__060,0,0.377861
en__060,1,0.566371
en__061,0,0.517761
en__061,1,0.520799
en__061,2,0.700430
en__062,0,0.740946
en__063,0,0.440598
en__063,1,0.755138
en__064,0,0.388936
en__064,1,0.831386
en__065,0,0.215603
en__065,1,0.334813
en__065,2,0.760609
en__066,0,0.428314
en__066,1,0.669597
en__067,0,0.325927
en__067,1,0.547896
en__067,2,0.728053
en__068,0,0.262157
en__068,1,0.329867
en__068,2,0.643555
en__069,0,0.445304
en__069,1,0.647585
en__070,0,0.173999
en__070,1,0.284420
en__070,2,0.306882
en__070,3,0.406475
en__070,4,0.473569
en__070,5,0.299881
en__070,6,0.704844
en__071,0,0.647709
en__072,0,0.425058
en__073,0,0.324255
en__073,1,0.637424
en__074,0,0.756976
