turn_id,pause_index,p_eot
en__000,0,0.171933
en__000,1,0.161007
en__000,2,0.229474
en__000,3,0.324692
en__001,0,0.262009
en__001,1,0.275909
en__002,0,0.218972
en__002,1,0.341099
en__002,2,0.625485
en__002,3,0.672602
en__002,4,0.700739
en__002,5,0.747072
en__002,6,0.528956
en__003,0,0.491031
en__004,0,0.265433
en__004,1,0.479281
en__005,0,0.175766
en__005,1,0.528195
en__006,0,0.351931
en__006,1,0.557009
en__006,2,0.690358
en__007,0,0.195055
en__007,1,0.334352
en__007,2,0.312000
en__007,3,0.240952
en__007,4,0.479991
en__007,5,0.248960
en__007,6,0.207374
en__008,0,0.441055
en__008,1,0.660257
en__008,2,0.393568
en__008,3,0.687317
en__009,0,0.189701
en__010,0,0.254635
en__010,1,0.258144
en__011,0,0.471478
en__012,0,0.117855
en__012,1,0.387542
en__012,2,0.404346
en__013,0,0.248808
en__014,0,0.214544
en__014,1,0.769593
en__015,0,0.281261
en__015,1,0.175610
en__016,0,0.176494
en__016,1,0.480801
en__016,2,0.384862
en__017,0,0.311034
en__017,1,0.508747
en__018,0,0.530027
en__018,1,0.283712
en__018,2,0.421146
en__018,3,0.514377
en__018,4,0.362672
en__018,5,0.402732
en__019,0,0.276589
en__020,0,0.096356
en__020,1,0.357918
en__020,2,0.803180
en__021,0,0.511023
en__022,0,0.400725
en__022,1,0.551699
en__023,0,0.379376
en__023,1,0.320572
en__023,2,0.403182
en__024,0,0.195553
en__024,1,0.593600
en__024,2,0.635360
en__025,0,0.773123
en__026,0,0.284114
en__027,0,0.674658
en__027,1,0.706839
en__028,0,0.423328
en__028,1,0.772997
en__029,0,0.419771
en__029,1,0.257679
en__029,2,0.596506
en__030,0,0.732511
en__030,1,0.341523
en__030,2,0.674901
en__030,3,0.433830
en__030,4,0.772508
en__031,0,0.580526
en__032,0,0.334997
en__032,1,0.489922
en__033,0,0.430219
en__034,0,0.254544
en__034,1,0.569640
en__035,0,0.702166
en__035,1,0.440348
en__035,2,0.591117
en__036,0,0.370402
en__036,1,0.663868
en__036,2,0.262811
en__037,0,0.199108
en__037,1,0.720050
en__037,2,0.499130
en__037,3,0.654675
en__038,0,0.249621
en__038,1,0.547110
en__038,2,0.385949
en__038,3,0.454310
en__039,0,0.289966
en__039,1,0.321750
en__039,2,0.257333
en__040,0,0.569106
en__041,0,0.770970
en__042,0,0.128928
en__042,1,0.129205
en__042,2,0.376459
en__042,3,0.324404
en__042,4,0.627686
en__043,0,0.693996
en__044,0,0.274796
en__044,1,0.454583
en__044,2,0.782679
en__045,0,0.223486
en__045,1,0.575328
en__046,0,0.148429
en__046,1,0.505079
en__046,2,0.585485
en__047,0,0.758971
en__048,0,0.235255
en__048,1,0.761092
en__049,0,0.248431
en__049,1,0.337481
en__049,2,0.382767
en__049,3,0.686401
en__049,4,0.468143
en__050,0,0.343447
en__051,0,0.530131
en__051,1,0.592774
en__051,2,0.642612
en__052,0,0.374259
en__052,1,0.566064
en__052,2,0.676008
en__053,0,0.400375
en__053,1,0.621788
en__054,0,0.616911
en__054,1,0.531071
en__055,0,0.461489
en__056,0,0.579460
en__057,0,0.630766
en__058,0,0.670086
en__059,0,0.341699
en__059,1,0.514066
en__059,2,0.840783
en__060,0,0.413291
en__060,1,0.474279
en__061,0,0.584845
en__061,1,0.690603
en__061,2,0.597209
en__062,0,0.865319
en__063,0,0.445904
en__063,1,0.708048
en__064,0,0.531753
en__064,1,0.789631
en__065,0,0.350485
en__065,1,0.219256
en__065,2,0.811961
en__066,0,0.672890
en__066,1,0.393832
en__067,0,0.586306
en__067,1,0.700823
en__067,2,0.685731
en__068,0,0.190675
en__068,1,0.503413
en__068,2,0.619948
en__069,0,0.275563
en__069,1,0.519379
en__070,0,0.196776
en__070,1,0.486220
en__070,2,0.374209
en__070,3,0.648949
en__070,4,0.419536
en__070,5,0.467688
en__070,6,0.453962
en__071,0,0.323945
en__072,0,0.500340
en__073,0,0.207687
en__073,1,0.550733
en__074,0,0.629394
en__075,0,0.483192
en__076,0,0.761754
en__077,0,0.222499
en__077,1,0.501360
en__077,2,0.229193
en__078,0,0.205596
en__079,0,0.528430
en__079,1,0.513837
en__080,0,0.254068
en__080,1,0.313064
en__080,2,0.400668
en__080,3,0.652224
en__080,4,0.406955
en__080,5,0.671710
en__081,0,0.276111
en__081,1,0.272868
en__081,2,0.375528
en__081,3,0.461198
en__081,4,0.715296
en__082,0,0.822015
en__082,1,0.836484
en__083,0,0.504697
en__083,1,0.400677
en__083,2,0.537914
en__084,0,0.730232
en__085,0,0.481561
en__086,0,0.189386
en__086,1,0.100728
en__086,2,0.590080
en__087,0,0.229948
en__088,0,0.318920
en__088,1,0.624307
en__089,0,0.183633
en__089,1,0.199074
en__090,0,0.344520
en__090,1,0.556306
en__090,2,0.900488
en__090,3,0.814830
en__091,0,0.777583
en__091,1,0.432590
en__091,2,0.444181
en__091,3,0.644879
en__091,4,0.639949
en__091,5,0.782791
en__091,6,0.834460
en__091,7,0.851352
en__092,0,0.528393
en__092,1,0.429476
en__093,0,0.236694
en__093,1,0.393109
en__093,2,0.400814
en__093,3,0.136264
en__093,4,0.337346
en__094,0,0.624053
en__094,1,0.705740
en__095,0,0.303461
en__095,1,0.292542
en__095,2,0.496181
en__095,3,0.272050
en__095,4,0.738042
en__095,5,0.322278
en__096,0,0.586302
en__097,0,0.286213
en__097,1,0.409506
en__098,0,0.471423
en__099,0,0.609946
