turn_id,pause_index,p_eot
hi__000,0,0.344085
hi__000,1,0.346370
hi__000,2,0.495508
hi__001,0,0.483132
hi__001,1,0.366787
hi__002,0,0.630427
hi__003,0,0.556001
hi__004,0,0.359972
hi__005,0,0.256201
hi__005,1,0.633008
hi__006,0,0.274627
hi__006,1,0.675484
hi__006,2,0.355149
hi__007,0,0.366854
hi__007,1,0.514057
hi__007,2,0.718091
hi__007,3,0.695221
hi__007,4,0.590706
hi__007,5,0.824320
hi__008,0,0.277565
hi__009,0,0.543181
hi__010,0,0.250892
hi__010,1,0.291031
hi__010,2,0.658969
hi__010,3,0.810056
hi__011,0,0.162415
hi__011,1,0.539536
hi__011,2,0.399575
hi__012,0,0.336200
hi__012,1,0.505535
hi__012,2,0.610517
hi__012,3,0.579008
hi__012,4,0.736371
hi__012,5,0.652948
hi__013,0,0.579547
hi__014,0,0.429613
hi__014,1,0.567064
hi__014,2,0.545889
hi__014,3,0.625164
hi__014,4,0.652927
hi__014,5,0.620718
hi__015,0,0.395408
hi__016,0,0.345754
hi__017,0,0.538851
hi__017,1,0.471532
hi__018,0,0.429030
hi__018,1,0.539634
hi__018,2,0.501738
hi__019,0,0.263889
hi__019,1,0.264431
hi__019,2,0.686459
hi__019,3,0.581086
hi__019,4,0.529655
hi__020,0,0.540649
hi__020,1,0.440314
hi__021,0,0.631704
hi__022,0,0.192109
hi__022,1,0.259646
hi__022,2,0.354465
hi__022,3,0.507768
hi__022,4,0.310663
hi__022,5,0.479007
hi__022,6,0.650140
hi__022,7,0.589293
hi__023,0,0.719369
hi__024,0,0.507822
hi__025,0,0.309025
hi__025,1,0.381398
hi__025,2,0.476006
hi__026,0,0.712020
hi__027,0,0.233580
hi__027,1,0.435893
hi__028,0,0.269825
hi__028,1,0.387621
hi__029,0,0.262030
hi__029,1,0.368915
hi__029,2,0.610902
hi__029,3,0.686480
hi__030,0,0.660639
hi__031,0,0.161413
hi__031,1,0.341086
hi__032,0,0.406907
hi__032,1,0.423629
hi__033,0,0.668316
hi__033,1,0.448760
hi__033,2,0.322168
hi__034,0,0.337246
hi__034,1,0.524515
hi__034,2,0.625332
hi__035,0,0.699464
hi__036,0,0.388104
hi__036,1,0.464927
hi__036,2,0.487470
hi__036,3,0.548438
hi__036,4,0.723792
hi__036,5,0.781302
hi__036,6,0.692885
hi__037,0,0.379583
hi__037,1,0.510412
hi__037,2,0.781804
hi__038,0,0.319342
hi__038,1,0.371431
hi__038,2,0.331598
hi__038,3,0.505895
hi__039,0,0.480528
hi__040,0,0.378695
hi__040,1,0.327865
hi__040,2,0.321167
hi__041,0,0.239344
hi__041,1,0.582359
hi__042,0,0.468423
hi__042,1,0.469867
hi__043,0,0.330551
hi__043,1,0.386689
hi__044,0,0.309328
hi__044,1,0.288606
hi__045,0,0.421139
hi__045,1,0.527208
hi__046,0,0.478974
hi__046,1,0.476059
hi__046,2,0.487329
hi__047,0,0.452661
hi__048,0,0.410459
hi__049,0,0.520818
hi__050,0,0.415926
hi__051,0,0.328081
hi__051,1,0.546046
hi__051,2,0.779851
hi__052,0,0.515098
hi__053,0,0.295895
hi__053,1,0.543792
hi__053,2,0.278648
hi__054,0,0.516086
hi__054,1,0.780631
hi__055,0,0.291986
hi__055,1,0.465906
hi__056,0,0.315458
hi__057,0,0.209488
hi__057,1,0.753142
hi__058,0,0.421093
hi__058,1,0.565820
hi__059,0,0.463006
hi__059,1,0.315850
hi__059,2,0.470528
hi__060,0,0.533448
hi__060,1,0.490281
hi__061,0,0.266779
hi__061,1,0.677886
hi__062,0,0.430180
hi__063,0,0.180991
hi__063,1,0.428703
hi__063,2,0.517547
hi__063,3,0.805445
hi__064,0,0.340285
hi__064,1,0.349321
hi__064,2,0.508016
hi__064,3,0.562340
hi__064,4,0.793978
hi__065,0,0.447387
hi__066,0,0.227978
hi__066,1,0.489117
hi__066,2,0.640321
hi__067,0,0.491082
hi__068,0,0.718057
hi__069,0,0.652392
hi__069,1,0.540355
hi__069,2,0.332712
hi__069,3,0.685411
hi__069,4,0.432334
hi__069,5,0.563884
hi__070,0,0.438539
hi__070,1,0.352718
hi__071,0,0.401132
hi__071,1,0.448010
hi__071,2,0.472021
hi__072,0,0.612377
hi__072,1,0.682767
hi__073,0,0.288631
hi__073,1,0.511542
hi__073,2,0.468700
hi__073,3,0.600948
hi__073,4,0.698525
hi__073,5,0.466966
hi__074,0,0.402795
hi__074,1,0.450104
hi__075,0,0.243280
hi__075,1,0.691499
hi__076,0,0.527568
hi__077,0,0.321823
hi__077,1,0.328807
hi__077,2,0.533477
hi__078,0,0.396565
hi__078,1,0.479891
